LABELS;S_28;S_26;C_28;S_0;C_26;S_29;S_6;S_2;S_5;C_0;S_21;C_29;C_6;C_21;C_2;S_22;S_3;S_7;S_19;S_9;S_23;C_5;S_18;C_9;C_3;S_13;C_22;C_19;C_7;S_4;C_23;S_27;C_13;S_25;S_8;C_18;S_12;S_20;C_8;S_17;S_24;C_12;C_4;S_14;S_15;C_27;S_10;C_17;C_25;S_1;S_11;C_20;C_24;C_1;C_10;S_16;C_11;C_14;C_15;C_16
JOB ID;28;26;28;0;26;29;6;2;5;0;21;29;6;21;2;22;3;7;19;9;23;5;18;9;3;13;22;19;7;4;23;27;13;25;8;18;12;20;8;17;24;12;4;14;15;27;10;17;25;1;11;20;24;1;10;16;11;14;15;16
EVENT TYPE;0;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1
TIME;1.37;5.68;7.11;7.859999999999999;7.859999999999999;7.86;9.63;9.66;9.66;10.52;10.520000000000001;11.79;12.369767731231866;12.369767731231866;12.59;12.59;13.3;13.300000000000002;14.72;14.92;15.059448717948754;16.53;16.53;16.57999999999999;16.579999999999995;16.58;16.58;19.487214917462595;20.38395561357701;20.383955613577015;20.383955613577015;21.840823213146447;22.72;23.19;23.38;23.380000000000003;24.898394648829427;24.898394648829427;24.89839464882943;25.63;26.032710073439475;26.03271007343948;26.92;26.92;26.92;26.92;28.23504201680672;28.23504201680672;29.549999999999997;29.55;29.55;29.55;29.55;32.37;32.37;33.68270566727607;36.38;36.38;36.38;36.996631016042905
RESOURCE JOB 0;0.0;0.0;0.0;76.3764000000001;0.0;0.0;0.7916000000000167;0.0;5.7620000000000005;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.418600000000026;13.741399999999999;0.0;13.769483616756835;0.0;5.2305163832431845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.31099999999998;4.409999999999968;2.874038076923739;25.532461923076525;0.0;1.102499999999793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.15960581270187;0.0;6.734494187298225;5.184099999999887;1.4553999999999974;0.0;11.630903010033421;5.604096989966564;0.0;0.0;3.084759162546419;6.796640837453623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8404000000000025;2.717799999999997;0.0;1.240702944836194;0.0;0.4712970551638094;0.0;4.517600000000002;0.0;3.038799999999995;0.4280000000000008;0.2984202564103313;3.146979743589668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.36219999999993036;0.0;14.054599999999994;21.653500000000022;0.0;10.709700000000055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.464399999999912;0.5559999999999974;0.3876674358975407;4.088132564102466;0.0;0.13899999999997448;0.0;0.0;0.0;28.77630564394397;9.218494356056134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0024835897441164;15.08001641025584;0.0;0.2975000000000434;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.128200000000064;0.0;0.0;49.32179999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.728799999999765;0.0;0.0;0.0;0.0;13.455233089579735;37.1259669104205;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.442725752508409;0.0;0.0;4.647274247491591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.779789050737037;2.708156902265543;0.0;58.536940150699934;0.0;2.6551138962977348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.737193277310077;0.0;0.0;1.3544067226890775;0.0;0.0;2.904599999999995;0.0;0.0;0.0;0.0;51.61558683729519;2.7782131627056503;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5654680672268899;0.0;0.0;0.5654319327731088;0.0;0.0;20.494799999999998;0.0;0.0;0.0;0.0;0.56446343692871;1.159836563071293;0.0;0.0;0.0;0.0
