LABELS;S_20;S_9;C_20;S_8;S_16;C_9;C_16;C_8;S_14;S_28;C_28;S_18;C_18;S_27;S_1;S_29;C_29;C_27;C_14;S_10;S_15;S_22;S_3;S_13;S_11;C_15;C_22;S_21;S_12;S_7;C_3;C_13;S_23;S_6;S_24;C_23;C_12;C_24;C_7;S_19;S_2;S_4;C_10;C_6;S_17;S_0;S_25;C_2;C_11;C_1;C_17;S_26;C_4;C_0;C_25;C_26;C_19;S_5;C_5;C_21
JOB ID;20;9;20;8;16;9;16;8;14;28;28;18;18;27;1;29;29;27;14;10;15;22;3;13;11;15;22;21;12;7;3;13;23;6;24;23;12;24;7;19;2;4;10;6;17;0;25;2;11;1;17;26;4;0;25;26;19;5;5;21
EVENT TYPE;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1
TIME;0.0;1.9;2.23;2.844403261675313;2.844403261675313;5.66;6.36;6.84;6.84;7.006505190311419;8.32;8.43712924359738;9.86;9.86;9.90758241758241;9.90758241758241;12.8;13.60974112698224;15.95;16.61;16.61;18.11644710578843;20.59;21.68;21.761103552532123;21.761103552532127;21.761103552532127;22.02988712584112;22.657028471268177;22.65702847126818;22.73;23.283678707733106;23.283678707733106;23.93;24.13648402814025;25.43;25.9549831555399;25.9549831555399;26.75;26.750000000000004;26.95;27.349999999999998;27.35;28.052009569377987;28.594595856434196;29.494429149797565;31.95;32.2;32.2;32.49;32.92;32.92;35.26;36.69;36.69;36.69;37.34;40.36450798990749;45.6;49.64
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.65260000000002;0.5024999999999977;0.0;0.5829000000000093;0.8642999999999859;0.0;4.703400000000002;2.874299999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.264200000000017;0.0;1.4737288511076756;4.259271148892324;1.2012;0.0;2.7417337325349465;4.501866267465061;1.9837999999999951;0.14760846560846375;0.0;0.0;0.48918610342236946;1.1413972486772437;0.0;0.13280818229191027;1.0076952480742563;0.0;1.1763047519257412;0.3758009312152524;2.3541990687847516;0.9554693430826191;0.0;1.446930656917388;0.3639999999999972;0.0;0.7280000000000015;1.2776574162679424;0.0;0.9875070424423029;1.6376965939213335;4.469138947368423;0.4550000000000054;0.0;0.5277999999999992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.492000000000075;6.669090909090869;0.0;12.897569727033897;8.548416286951976;23.327923076923128;2.375000000000057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.576999999999998;0.06488284202569972;2.2737367544323206e-13;0.0;6.800224404717596;0.5017130763416446;1.1368683772161603e-13;1.846179676915085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.834883139193973;0.0;0.7596208018786967;1.2597666107087164;3.437799190283407;0.3500000000000014;0.0;0.4059999999999988;0.6020000000000039;0.0;67.5299302579352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.25;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8631032376262482;5.406896762373762;2.1944295901567727;0.0;3.323170409843243;0.8359999999999985;0.0;1.671999999999997;2.9343999999999966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
