LABELS;S_19;S_28;S_26;C_28;S_15;S_14;C_26;C_14;S_6;C_15;C_19;S_4;C_6;S_3;S_12;C_4;S_8;S_18;S_10;S_7;C_12;C_18;S_22;S_24;C_7;C_24;S_2;S_21;C_8;S_16;S_23;C_2;S_11;C_3;S_5;S_17;C_11;C_22;C_10;C_16;C_23;S_1;S_29;C_21;S_27;C_17;C_29;S_9;S_20;S_13;C_1;C_20;S_0;C_5;C_9;S_25;C_27;C_0;C_13;C_25
JOB ID;19;28;26;28;15;14;26;14;6;15;19;4;6;3;12;4;8;18;10;7;12;18;22;24;7;24;2;21;8;16;23;2;11;3;5;17;11;22;10;16;23;1;29;21;27;17;29;9;20;13;1;20;0;5;9;25;27;0;13;25
EVENT TYPE;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1
TIME;0.0;1.4405934281510542;1.82;2.8299999999999996;2.83;4.412521994134897;4.412521994134897;5.87;5.893917861799217;5.893917861799217;6.63;7.58;7.722325846219857;8.37;9.2366416972091;9.37;9.37;9.97;11.63;13.000240582462805;13.000240582462805;13.000240582462805;13.000240582462805;13.000240582462805;14.64;14.810317346372656;15.66;17.2;18.77;18.77;18.77;18.97069665489379;18.97069665489379;19.438820809639882;19.44;20.159999999999997;20.16;20.16;20.52;20.86;20.987132480244778;21.089516492438154;21.35;21.97;22.72;23.52;24.50433571996818;24.78;25.58;26.81;27.17;27.17000000000001;27.78;28.23;28.23;28.54;28.54;31.3;32.56;33.57
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.498138722295085;0.0;1.2802999999999969;67.03156127770492;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.682171976073846;1.946799999999996;9.43500000000003;2.5120000000000005;9.209786735143194;10.246441288782876;24.570499999999985;9.756900000000272;1.130400000000023;0.0;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.833199999999977;11.665099999999967;0.0;0.0;2.311700000000055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.104519596561603;0.7854804034383972;0.0;9.726000000000031;9.777399999999993;8.070717030705922;0.0;0.0;0.0;9.658182969294089;0.0;5.775814601355997;5.004630829865058;9.070599999999999;9.247299999999996;0.0;0.0;1.1821032973244172;0.0;2.757251271454493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.429731033287567;32.38370768900705;38.22756526389344;1.758996013811938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.091199999999844;0.0;0.0;0.5867999999999967;0.5542000000000016;0.20722594279899198;0.1668859398752005;0.42458811732581125;1.0105999999999966;1.2224999999999966;1.304000000000002;22.141305945843346;0.4493327764518682;1.303999999999995;2.0049000000000063;0.5868000000000109;0.9942999999999955;0.0;8.351361277704935;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.60843872229469;0.0;42.08499999999998;1.686561277705323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
