LABELS;S_24;S_13;C_24;S_23;S_4;C_13;S_14;S_2;S_9;S_10;C_23;C_14;C_4;S_27;S_20;S_15;S_25;C_2;C_9;C_10;C_27;S_26;S_11;S_29;C_25;C_20;C_29;S_7;S_1;C_11;S_17;C_15;S_16;S_3;S_22;C_26;S_18;S_21;C_16;C_22;S_28;C_1;C_7;C_17;C_21;S_6;C_18;S_5;C_3;S_12;C_28;S_0;C_6;S_8;S_19;C_5;C_8;C_12;C_0;C_19
JOB ID;24;13;24;23;4;13;14;2;9;10;23;14;4;27;20;15;25;2;9;10;27;26;11;29;25;20;29;7;1;11;17;15;16;3;22;26;18;21;16;22;28;1;7;17;21;6;18;5;3;12;28;0;6;8;19;5;8;12;0;19
EVENT TYPE;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;1;1
TIME;0.0;1.63;1.63;2.03;3.4;3.4;3.4;6.64;6.64;6.64;6.64;6.91;8.31;8.31;8.509999999999998;8.51;8.51;12.71;12.71;12.71;13.269999999999998;13.27;13.294908401768804;13.294908401768804;13.746581196581207;17.13;17.13;17.449999999999996;17.45;17.45;17.45;17.9;17.9;22.099480812641087;22.099480812641087;22.099480812641087;22.96;24.22353143841517;24.49;24.49;25.419999999999998;25.42;25.42;25.42;25.42;25.42000000000001;25.45592028889626;26.90957402416598;26.909574024165984;28.544885737962105;28.544885737962105;34.15;34.15;34.15;34.15;38.61;38.82;38.82;40.53;45.13
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.438799999999965;0.0;0.7560000000000002;15.595200000000034;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.578499999999991;0.0;0.0;0.0;0.0;51.203111060948615;0.0;17.72669525959352;0.0;11.495928821576975;1.5268648578810655;5.328900000000061;0.0;0.0;0.0;0.0;0.0;0.0;-2.2737367544323206e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2933000000000021;0.0;0.0;13.640699999999875;0.9579999999999913;0.0;20.118000000000016;0.0;1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.116493679458216;0.0;10.449404995693442;2.20369500430655;7.691100000000091;0.0;0.0;0.0;0.0;0.0;0.2970607891720647;-2.2737367544323206e-13;58.582245531369864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;16.362;0.0;1.363500000000002;0.0;0.0;16.9945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.927408439374062;0.0;36.37719156062593;0.0;0.0;0.0;28.945400000000006;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2632957176095658;0.0;10.655281879527074;11.98683486212559;0.0;58.31458754073776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
