LABELS;S_20;S_24;C_20;C_24;S_5;S_17;S_26;S_3;C_3;S_10;C_17;C_26;S_11;S_12;C_11;S_2;S_4;C_12;C_5;S_25;C_2;C_4;S_14;C_25;S_23;C_10;S_7;S_29;S_21;C_14;C_29;S_19;C_7;S_22;S_16;C_23;S_15;S_9;C_21;C_16;C_22;S_1;C_15;S_6;C_19;S_18;C_9;S_27;C_6;S_8;C_1;S_28;S_13;C_28;S_0;C_0;C_27;C_8;C_13;C_18
JOB ID;20;24;20;24;5;17;26;3;3;10;17;26;11;12;11;2;4;12;5;25;2;4;14;25;23;10;7;29;21;14;29;19;7;22;16;23;15;9;21;16;22;1;15;6;19;18;9;27;6;8;1;28;13;28;0;0;27;8;13;18
EVENT TYPE;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;1
TIME;0.0;0.3554980595084085;2.38;2.38;2.69;4.539999999999999;4.54;5.29;8.205650652985076;8.205650652985076;8.205650652985076;8.205650652985076;8.46;8.499719818424818;9.593610760599017;11.286997566367477;11.286997566367477;11.286997566367477;12.18;12.18;13.78;13.81;14.34;14.68;14.8;14.91;15.03;15.57;16.96;17.21;18.35;19.61;19.73;20.01;20.61;20.78;20.79;21.56;21.745511022044088;23.18;23.18;23.59;23.96;24.81;24.97;25.93;26.0;26.000000000000004;26.386588628762535;26.386588628762535;26.697243759239733;26.697243759239733;27.81;28.181932249208053;28.600693641618495;31.04;31.04;32.1;33.95;33.95
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.66;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7464000000000084;4.011999999999986;0.7552000000000021;12.605009456388512;0.9603999999999644;1.824698327759151;0.0;0.0;1.466292215852377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.869141422655147;0.0;37.690858577344855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.037998256703276;0.0;20.9604017432967;0.0;0.47160000000002356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;24.2232;5.340000000000003;0.0;20.759432649253746;0.0;1.8109673507462687;0.0;0.0;0.2828051071847;7.7885035082803;12.056914057071424;0.0;6.358177327463565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.783999999999992;28.70399999999995;2.0930000000001883;11.55899999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.779339679358536;15.609700000000004;2.8075000000000045;37.84800000000013;18.831060320641335;4.994399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.478707071132433;0.0;10.38552982109509;0.4760732789863056;14.342577690057936;3.1223121387283257;0.0;38.77479999999997;0.0;0.0;0.0
