LABELS;S_4;S_10;S_24;S_8;C_10;C_24;S_7;C_8;S_29;C_4;C_7;S_19;S_2;C_29;S_6;C_19;S_18;C_2;C_18;S_23;S_3;C_6;S_13;C_23;S_25;S_26;S_22;S_0;C_3;C_22;S_5;C_13;C_25;C_0;S_28;S_1;C_5;S_21;C_1;C_21;C_26;S_15;S_12;C_15;C_28;S_14;S_11;S_17;S_9;S_20;S_27;C_11;S_16;C_27;C_9;C_14;C_12;C_17;C_20;C_16
JOB ID;4;10;24;8;10;24;7;8;29;4;7;19;2;29;6;19;18;2;18;23;3;6;13;23;25;26;22;0;3;22;5;13;25;0;28;1;5;21;1;21;26;15;12;15;28;14;11;17;9;20;27;11;16;27;9;14;12;17;20;16
EVENT TYPE;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
TIME;0.0;0.0;0.0;1.3584850595610547;2.0951989509070876;2.0951989509070876;2.48;3.4833802816901414;3.4833802816901414;4.07;4.59;4.59;5.12;5.12;6.41;6.55;7.45;8.117558669001752;9.8;9.8;11.28;11.28;11.28;11.66;11.66;11.66;13.34;14.829787564766841;14.829787564766841;14.829787564766841;14.86;14.88;14.88;16.32;16.32;16.878009734991885;16.878009734991885;17.88;18.56;19.31;19.31;19.34;19.52;21.55;21.55;21.89;22.81335520918787;23.09;24.56;24.67;24.89;26.18;26.18;26.180000000000003;27.73;27.73;28.54;28.54;28.54;30.699366550791808
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12326673575128666;0.08160000000000878;0.0;20.145133264248706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.526800000000016;0.0;12.573199999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.44279999999997;1.4405999999999892;23.307800000000007;19.058800000000033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.231399999999905;0.0;0.0;64.00251756476693;0.0;7.1360824352331695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;9.287259561644804;0.0;0.0;2.983691259951433;3.42857734741785;0.0;4.063690140845072;0.0;5.2267816901408395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6582000000000221;0.0;39.15083580313687;0.0;12.850964196863103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4476000000000084;9.305999999999997;2.5647566374781157;17.39644336252188;0.0;2.9451999999999963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;34.13499718309862;0.0;11.609204225352073;3.325798591549308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;8.78899672375817;4.590676515678442;0.0;11.970326760563388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7181000000000495;3.264800000000072;9.726600000000019;0.0;29.79049999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;23.63448875987725;0.0;0.0;13.69551124012275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3722999999998713;17.91930000000002;1.3409000000000333;2.681799999999953;11.22570000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.457699999999832;0.0;0.3025999999999982;1.0803255947496382;0.24621386382279553;1.3082999999999991;0.5595605414276541;0.19579999999999842;1.148100000000003;0.0;5.890500000000081;0.0;0.0;0.7209000000000003;0.0;0.0;0.0;0.0
