LABELS;S_6;S_22;S_44;C_44;S_14;S_33;C_6;S_8;C_22;C_14;S_28;S_0;C_8;S_31;C_33;C_0;S_7;S_21;C_28;S_38;S_48;S_49;S_13;C_13;S_39;C_48;S_3;C_31;C_7;C_38;S_24;C_21;S_26;C_39;S_46;S_12;S_17;S_18;S_41;C_46;C_26;S_11;C_17;S_40;S_25;C_49;S_45;C_40;S_27;S_16;C_41;C_45;S_23;C_25;S_29;S_32;C_27;C_24;C_29;C_11;S_20;S_2;C_20;S_47;C_18;S_42;S_10;C_23;C_2;C_47;S_19;S_1;C_32;C_10;S_43;S_34;C_3;C_12;S_15;C_42;C_1;C_19;C_16;S_5;S_35;C_34;S_9;S_30;C_43;C_5;C_9;C_30;S_37;S_4;C_35;C_15;S_36;C_37;C_4;C_36
JOB ID;6;22;44;44;14;33;6;8;22;14;28;0;8;31;33;0;7;21;28;38;48;49;13;13;39;48;3;31;7;38;24;21;26;39;46;12;17;18;41;46;26;11;17;40;25;49;45;40;27;16;41;45;23;25;29;32;27;24;29;11;20;2;20;47;18;42;10;23;2;47;19;1;32;10;43;34;3;12;15;42;1;19;16;5;35;34;9;30;43;5;9;30;37;4;35;15;36;37;4;36
EVENT TYPE;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1
TIME;0.46190521251337746;1.0045838334020156;2.65;4.556724511930585;4.576852791878172;4.643366945839856;5.103562547339806;5.103562547339806;5.103562547339806;6.12;6.12;6.15;9.83934850051706;9.83934850051706;9.83934850051706;9.839348500517062;9.839348500517062;9.839348500517062;9.839348500517062;9.839348500517062;9.839348500517062;11.707493964439037;12.024300341296927;14.34;14.34;14.484945402842204;14.623860423469267;14.623860423469267;18.28275573505615;18.28275573505615;18.335342265342266;18.95;18.95;18.95;18.95;21.088272920557614;22.03;23.739999999999995;23.739999999999995;23.739999999999995;23.74;24.57;24.57;24.57;26.51256926952141;26.51256926952141;26.86;26.860000000000003;27.76;28.26;28.26;29.438598484848495;31.17;31.17;31.17;31.17;31.17000000000001;32.205612535612545;32.205612535612545;32.38;32.45;34.14641367806505;34.14641367806505;34.95;35.34;35.34;35.670854432587035;35.670854432587035;37.99035512510089;37.99035512510089;37.9903551251009;39.54479634117706;39.54479634117707;40.40151537665739;40.40151537665741;40.83025577230647;40.830255772306494;40.830255772306494;40.830255772306494;40.830255772306494;41.24124442713441;41.24124442713441;41.80545454545458;42.72;42.72;43.96;44.956804344445814;46.68;46.68;47.83;48.344893141981636;49.76;49.76;54.31;54.31;54.57;54.57;56.21437262357414;57.795714285714276;57.795714285714276
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.991977640780192;11.005765956311734;0.0;9.094947017729282e-13;0.0;0.0;-1.1368683772161603e-13;8.462256402906633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.442139282735639;0.0;4.582500000000039;0.0;3.453545789972324;0.0;25.461814927291996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.586599871858873;0.0;0.18089766418424347;0.0;2.1144226072226076;7.3556588467182;0.0;0.0;0.0;3.23954115328182;5.88239999999999;0.0;2.855200000000025;0.0;0.0;0.0;0.0;6.6824382871536585;0.0;1.1951617128463425;0.0;3.0959999999999894;1.7199999999999989;0.0;4.054378787878818;5.956021212121186;0.0;0.0;0.0;0.0;3.562507122507114;0.5998928774928629;0.0;0.24080000000000723;5.835663052543779;2.7643369474562434;0.0;1.3415999999999997;0.0;1.1381392480993924;0.0;7.979082382247654;0.0;0.0;5.347277783302019;0.0;2.947113482052373;1.4748669610328307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0020000000000095;12.661669201520908;0.0;12.176330798479082;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.952799999999968;12.5397986531284;13.224401346871637;0.0;8.302999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;4.8461200845355386;14.693566367719999;17.027049891540123;0.1797455399319503;0.5939713948778405;4.109546721394553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
