LABELS;S_17;S_30;S_48;S_41;S_27;S_40;C_41;S_10;C_48;C_17;S_25;C_10;C_30;S_18;C_25;S_36;S_39;S_3;C_36;S_37;C_18;C_40;S_8;C_27;S_20;S_47;C_37;C_39;C_3;S_13;S_21;S_12;C_20;S_6;S_5;C_13;C_21;C_12;C_47;S_14;C_5;C_6;S_28;S_2;C_14;C_28;C_2;S_44;C_8;S_32;C_44;S_9;C_32;S_11;S_0;S_26;S_43;S_46;C_0;S_23;C_26;S_1;S_4;C_9;C_11;S_42;S_34;C_46;S_49;C_1;S_29;S_35;C_4;S_7;C_29;C_34;C_35;S_22;S_33;S_31;S_16;C_31;C_33;C_49;S_19;C_42;C_16;S_45;S_15;S_38;C_38;C_23;C_22;S_24;C_43;C_24;C_7;C_19;C_15;C_45
JOB ID;17;30;48;41;27;40;41;10;48;17;25;10;30;18;25;36;39;3;36;37;18;40;8;27;20;47;37;39;3;13;21;12;20;6;5;13;21;12;47;14;5;6;28;2;14;28;2;44;8;32;44;9;32;11;0;26;43;46;0;23;26;1;4;9;11;42;34;46;49;1;29;35;4;7;29;34;35;22;33;31;16;31;33;49;19;42;16;45;15;38;38;23;22;24;43;24;7;19;15;45
EVENT TYPE;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1
TIME;1.066263910969794;3.290174753180926;3.290174753180926;3.807694013303769;5.769999999999999;5.769999999999999;5.77;6.68;6.68;6.92;6.92;9.605559368565544;9.605559368565544;10.89;10.89;10.890000000000002;12.271484303985982;12.429905948694804;12.429905948694804;12.429905948694804;12.429905948694806;12.429905948694806;12.947985948477749;12.947985948477749;15.67;15.670000000000002;15.73;15.73;16.638635523733754;16.638635523733754;16.638635523733754;17.61574958131093;17.61574958131093;17.615749581310933;20.55999999999999;20.559999999999995;20.559999999999995;20.56;20.56;21.5;23.89;24.292849789424423;25.79;27.64;27.64;27.64;32.07;32.07;32.22526165363218;32.22526165363218;35.19;35.43183160026615;35.58891427532305;35.588914275323056;35.66854891901796;36.63;36.63;37.28;37.79;39.65396178803173;40.14;40.93;40.93;40.93;40.93;40.93;43.51;43.51;44.34999999999999;44.35;44.35;44.35;48.80514260680047;49.32370826913201;49.32370826913201;49.32370826913201;49.32370826913201;49.32370826913202;49.32370826913202;50.07041923258718;51.98;53.19999999999998;53.2;53.2;53.468755458591666;53.72;56.49;56.49;56.6;56.6;60.613394772117985;61.61;63.56332608885763;63.7568;65.01999999999998;65.02;66.75;67.26920863309351;68.32;68.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.237999999999985;3.867500000000007;0.0;3.0345000000000084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.120799999999996;0.0;0.9492000000000047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.723622392993434;0.0;0.0;0.0;0.0;33.75799329006162;0.0;0.0;1.612199999999934;0.0;36.63618431694502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.21229907550017;0.0;12.264000000000202;0.0;1.1368683772161603e-13;34.393700924499626;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.269600000000196;0.0;0.0;0.0;53.8603999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.392683668694445;0.0;0.0;0.0;5.217000000000027;0.0;0.0;0.0;13.264499999999984;2.235816331305543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4853621262458603;0.0;0.0;1.2412274988183327;0.7929999999999922;0.0;0.0;0.17469104808458003;0.16330895191541828;1.8005000000000067;0.0;1.0185999999999922;2.6087066018766922;0.0;0.6477933981233122;1.2696619577574597;1.7915684171783632;0.8210799999999878;0.0;1.1245000000000047;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.382442622950823;0.0;0.0;0.09659999999999869;0.0;1.4629031932113428;1.5731536326992526;0.0;0.0;4.7402431740894;0.0;0.0;0.0;1.5134000000000043;0.0;0.0;0.0;3.8479000000000028;0.6485881609733184;2.410411839026679;2.978500000000004;8.105886114701367;0.0;0.0;0.0;0.2499712623478061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9173628223322474;0.0;0.2667760563779211;3.2208611212898433;2.177499999999995;0.0;1.7085000000000008;6.244271989906295;1.628228010093693;2.646500000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
