LABELS;S_46;S_24;S_39;S_36;C_46;C_24;S_32;C_39;C_36;S_30;C_32;S_19;S_20;C_30;S_10;C_20;S_16;S_17;C_10;S_34;C_19;S_48;S_44;C_34;C_17;S_29;S_45;C_48;C_45;C_29;S_27;C_44;S_31;S_28;C_27;S_2;C_31;S_38;S_5;S_37;S_0;C_5;C_28;C_2;S_26;S_43;S_13;C_26;S_33;C_0;C_37;S_12;C_13;C_33;C_38;S_22;C_43;C_12;S_41;S_6;S_42;S_3;C_22;S_23;C_42;C_41;S_21;C_21;S_47;S_8;S_15;C_23;C_8;S_49;C_6;S_4;S_7;C_47;C_15;C_49;S_1;C_16;C_7;S_11;C_1;S_14;S_18;C_14;C_18;C_4;S_40;C_11;C_40;S_9;C_9;C_3;S_25;S_35;C_25;C_35
JOB ID;46;24;39;36;46;24;32;39;36;30;32;19;20;30;10;20;16;17;10;34;19;48;44;34;17;29;45;48;45;29;27;44;31;28;27;2;31;38;5;37;0;5;28;2;26;43;13;26;33;0;37;12;13;33;38;22;43;12;41;6;42;3;22;23;42;41;21;21;47;8;15;23;8;49;6;4;7;47;15;49;1;16;7;11;1;14;18;14;18;4;40;11;40;9;9;3;25;35;25;35
EVENT TYPE;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1
TIME;0.0;0.28569034317637687;0.28569034317637687;2.16;2.16;3.49;3.49;3.49;4.03;5.06;5.61;6.08;6.08;7.26;7.38;7.68;8.31;8.31;10.63;10.63;12.09;12.11;12.536107066381154;12.9;14.03;15.57;15.57;16.12;17.085044247787607;17.973374233128833;18.140548109984195;18.140548109984195;19.26;19.70076726342709;19.700767263427093;20.75;20.87;20.87;22.08;23.42137558516384;23.421375585163844;23.421375585163844;23.421375585163844;25.23;25.23;26.252962629446202;27.03;27.03;27.03;28.441398566798707;28.61;28.92;28.983914624410613;28.983914624410613;30.05;30.050000000000004;30.79;32.66;32.66;33.27183091007;33.27183091007;33.67;33.67;35.32;35.32;36.06;37.66;39.4394081682563;39.4394081682563;39.66;39.98;39.980000000000004;42.056164164803576;42.056164164803576;42.23;42.43;42.73;42.73;42.99657309643051;43.35;43.69;44.13;44.63856412562422;44.63856412562422;46.51;47.47;47.57224852071006;51.59;51.59;51.94;55.19;56.32174946004319;56.59;61.74;66.28627539503387;75.12;80.27;81.31;82.26872286079181;86.61
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.910455358329283;0.0;0.0;0.0;0.0;0.7979108509680373;5.0507429085996876;0.0;0.0;1.1008908821029912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.947599999999509;4.46409941069358;0.0;77.02830058930691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9731999999999914;9.813099999999991;0.0;10.878555995678767;15.935144004321252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.217499999999987;1.443000000000012;0.0;3.1199999999999903;3.4698459280997795;0.0;0.4301540719002048;0.6240000000000236;4.048520121366977;0.0;0.0;0.3389798786330118;0.3900000000000148;0.5849999999999937;0.51981753803949;0.0;0.6891824619605131;0.6629999999999967;0.8580000000000041;0.9917000449672315;0.0;3.6492999550327596;1.8719999999999999;0.1993846153846306;7.83461538461539;0.0;0.6824999999999761;6.337500000000006;2.206911447084238;0.5230885529157803;10.04249999999999;13.387737020316038;17.225762979683964;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.035000000000025;0.9196771826852626;0.0;1.2193228173147475;1.1730000000000018;1.5180000000000007;1.7545462334035733;0.0;6.456453766596411;3.312000000000012;0.35275739644973214;31.861742603550255;0.0;1.2074999999999818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.958991922455624;0.0;8.117999999999967;3.640800000000013;0.0;49.98294380755169;8.754688187821017;0.0;1.780176082171666;1.5744000000000256;10.214727690833598;0.0;0.0;0.855272309166395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
