LABELS;S_47;S_49;S_8;C_47;S_9;C_49;C_8;S_14;S_31;S_32;C_9;S_45;C_14;C_31;S_40;S_44;S_7;C_45;C_40;S_39;S_21;S_3;S_6;C_21;S_27;C_32;C_44;S_2;C_7;C_39;S_29;C_3;C_6;S_43;C_29;S_34;C_43;C_27;S_24;S_42;S_22;C_2;S_23;C_24;C_34;S_5;C_42;S_13;S_16;C_5;S_38;C_13;C_22;C_23;S_19;S_0;C_38;S_15;S_48;C_19;S_1;C_16;C_0;S_25;C_15;C_25;S_41;S_35;S_17;C_1;S_33;C_48;S_20;C_41;C_33;S_37;S_28;C_17;C_20;S_36;S_4;C_4;C_37;S_18;S_26;S_11;C_36;S_46;C_18;S_12;S_10;C_26;C_11;C_35;C_46;C_10;C_12;S_30;C_28;C_30
JOB ID;47;49;8;47;9;49;8;14;31;32;9;45;14;31;40;44;7;45;40;39;21;3;6;21;27;32;44;2;7;39;29;3;6;43;29;34;43;27;24;42;22;2;23;24;34;5;42;13;16;5;38;13;22;23;19;0;38;15;48;19;1;16;0;25;15;25;41;35;17;1;33;48;20;41;33;37;28;17;20;36;4;4;37;18;26;11;36;46;18;12;10;26;11;35;46;10;12;30;28;30
EVENT TYPE;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1
TIME;0.0;0.0;0.581331013484123;1.55;2.059429840799704;2.059429840799704;2.52;2.7;3.05;3.6;4.394324092030885;4.394324092030885;5.697793563351696;5.697793563351696;5.697793563351696;5.697793563351696;7.81;7.9;9.02870325369151;10.14;11.003101187005052;12.389726381406296;12.389726381406296;12.389726381406296;12.389726381406296;12.389726381406296;12.389726381406296;13.987733162149727;13.987733162149727;13.987733162149727;14.25;15.479999999999999;15.48;15.48;17.42955956516016;17.429559565160165;18.44;19.0;20.23;22.0727746154551;22.91918266233392;23.12;23.12;24.49;24.49;26.12;26.12;28.03446886446887;28.03446886446887;29.17;29.17;29.170000000000005;29.33;29.330000000000005;29.98;30.38;30.59;31.52267575753439;32.47;33.059999999999995;33.06;34.23;34.92;34.92000000000001;36.8;37.27780470075115;37.27780470075115;37.277804700751155;39.25;39.37;39.37;39.37;42.7;43.68999999999999;43.69;43.7;44.91;44.910000000000004;44.92;45.31;46.39997358551834;47.89628549278915;47.92;48.01680098436421;48.01680098436421;49.66270650616403;49.66270650616403;49.66270650616403;51.342943116343896;51.89;52.41;52.64;54.17;54.17;54.17;54.6818359314589;55.526253221230725;55.526253221230725;58.28179487179486;58.67
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4343000000000075;25.508614604963057;6.470224576040096;4.029699999999991;0.0;18.399560818996747;20.037600000000097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.100939181003241;0.41400000000000503;1.2789769243681803e-13;1.127999999999993;7.281743639447541;0.0;0.0;1.1833171795493094;0.07199999999999918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9677646316675066;4.538700000000006;0.0;7.193874795441005;0.0;3.7285252045590056;0.0;2.0664000000000016;55.0548;6.799838331029295;9.339081061315364;0.7410159759878434;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.507410045079638;0.0;0.0;10.280860043730708;36.66172991118921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.157875457875456;0.0;1.4421245421245459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.637609723444996;0.0;0.0;1.4450902765550069;6.777299999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
