LABELS;S_39;S_19;C_19;S_13;S_27;C_39;C_27;S_3;C_13;S_30;S_22;C_3;S_9;S_1;S_15;C_9;S_5;C_1;S_24;C_5;S_49;S_32;S_45;C_32;S_42;S_20;C_24;S_17;C_20;C_49;S_37;C_45;C_30;C_42;S_18;S_48;S_2;S_36;C_17;C_48;C_18;S_14;C_37;S_16;C_36;S_6;C_22;C_16;S_12;S_44;C_2;S_33;C_6;C_14;S_46;C_12;S_0;S_28;S_11;C_15;C_33;S_35;S_21;C_28;C_35;C_0;C_11;S_25;S_40;C_46;S_47;S_8;S_38;C_21;C_25;S_26;S_23;C_38;S_7;S_29;S_34;C_44;S_43;C_8;C_26;C_47;S_4;C_4;C_43;S_31;C_34;C_40;C_29;S_10;C_31;C_10;C_23;C_7;S_41;C_41
JOB ID;39;19;19;13;27;39;27;3;13;30;22;3;9;1;15;9;5;1;24;5;49;32;45;32;42;20;24;17;20;49;37;45;30;42;18;48;2;36;17;48;18;14;37;16;36;6;22;16;12;44;2;33;6;14;46;12;0;28;11;15;33;35;21;28;35;0;11;25;40;46;47;8;38;21;25;26;23;38;7;29;34;44;43;8;26;47;4;4;43;31;34;40;29;10;31;10;23;7;41;41
EVENT TYPE;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1
TIME;0.0;0.30922216004476777;1.34;2.09;2.09;2.09;5.32;5.52;5.89;5.89;5.91;7.19;7.92;8.708805993197641;10.274012462747224;10.33;11.022903731577331;11.88;12.398434314835816;13.29;13.85;15.11;15.11;19.23;19.230000000000004;19.32;19.32;19.55;21.15;21.589999999999986;21.59;21.590000000000003;21.70809077079107;21.70809077079107;22.15;22.399999999999988;22.4;22.79;23.62;24.66;25.68;27.61;27.61;27.610000000000003;29.09;29.19;29.19;30.51;31.02;31.02;31.26;31.82;32.53;33.49;34.05325137211852;34.053251372118524;34.28;34.28000000000001;35.04;35.04;35.04;35.04;38.68;38.99;38.99;39.0;39.0;39.28;40.01;40.01;41.96098596043395;43.29;43.29;45.36999999999999;45.37;45.76;47.1;47.1;47.4;47.73;47.88669676448461;47.88669676448462;48.39999999999999;48.4;48.4;48.76;48.93;51.58;51.69;51.709999999999994;51.709999999999994;51.71;52.71;52.93;53.58;55.68421226409507;56.51;57.34;57.34;62.69
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.975599999999986;0.0;0.0;0.0;0.0;19.470800000000057;1.565499999999986;0.1180999999999699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.14940368463833;0.28609631536168223;10.248046190028731;12.676453809971258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.39069999999996;1.0956000000000046;1.372799999999998;1.3464000000000027;2.8573000000001016;0.0;0.0;10.374799999999919;0.132000000000005;1.7423999999999964;0.0;0.6732000000000014;2.1048000000000116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.580800000000004;0.0;0.8452000000000055;41.62399999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.33279999999906;19.97527415062391;2.86192584937703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.47340000000014;0.0;22.61850000000001;2.1455999999999165;0.0;18.30080000000001;13.721699999999927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
