n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
5;50.0;2;0;1.0;0.95;80.0;8000.0;844;0.0277165938168764;17.24;11.410489863716066;12.419999999999998;0.0
5;50.0;2;0;1.0;0.95;80.0;8000.0;844;0.0277165938168764;17.24;11.410489863716066;12.419999999999998;0.0
5;50.0;2;1;1.0;0.95;80.0;8000.0;246;0.026477905921638;14.58;2.589841529726982;11.66;0.0
5;50.0;2;1;1.0;0.95;80.0;8000.0;246;0.026477905921638;14.58;2.589841529726982;11.66;0.0
5;50.0;2;2;1.0;0.95;80.0;8000.0;1333;0.0331802126020193;15.5;29.03453875426203;13.079999999999997;0.0
5;50.0;2;2;1.0;0.95;80.0;8000.0;1333;0.0331802126020193;15.5;29.03453875426203;13.079999999999997;0.0
5;50.0;2;3;1.0;0.95;80.0;8000.0;382;0.0267336657270789;6.37;6.443063659593463;6.369999999999997;0.0
5;50.0;2;3;1.0;0.95;80.0;8000.0;382;0.0267336657270789;6.37;6.443063659593463;6.369999999999997;0.0
5;50.0;3;0;1.0;0.95;80.0;8000.0;2055;0.0297466432675719;18.020000000000003;36.36762484535575;15.29000000000001;0.0
5;50.0;3;0;1.0;0.95;80.0;8000.0;2055;0.0297466432675719;18.020000000000003;36.36762484535575;15.29000000000001;0.0
5;50.0;3;1;1.0;0.95;80.0;8000.0;3567;0.040704159066081;13.77;60.16819351911545;12.489999999999991;0.0
5;50.0;3;1;1.0;0.95;80.0;8000.0;3567;0.040704159066081;13.77;60.16819351911545;12.489999999999991;0.0
5;50.0;3;2;1.0;0.95;80.0;8000.0;3609;0.0238414416089653;17.4;37.32798603735864;17.08;0.0
5;50.0;3;2;1.0;0.95;80.0;8000.0;3609;0.0238414416089653;17.4;37.32798603735864;17.08;0.0
5;50.0;3;3;1.0;0.95;80.0;8000.0;2468;0.0251103341579437;21.090000000000003;38.9750769501552;19.53000000000001;0.0
5;50.0;3;3;1.0;0.95;80.0;8000.0;2468;0.0251103341579437;21.090000000000003;38.9750769501552;19.53000000000001;0.0
5;50.0;4;0;1.0;0.95;80.0;8000.0;711;0.0237459065392613;167.3918;14.195064428262413;16.74999999999997;0.0
5;50.0;4;0;1.0;0.95;80.0;8000.0;711;0.0237459065392613;167.3918;14.195064428262413;16.74999999999997;0.0
5;50.0;4;1;1.0;0.95;80.0;8000.0;2839;0.0264965901151299;19.32;51.15539111942053;16.749999999999954;0.0
5;50.0;4;1;1.0;0.95;80.0;8000.0;2839;0.0264965901151299;19.32;51.15539111942053;16.749999999999954;0.0
5;50.0;4;2;1.0;0.95;80.0;8000.0;3158;0.0290299467742443;10.38;35.30468588043004;9.66000000000001;0.0
5;50.0;4;2;1.0;0.95;80.0;8000.0;3158;0.0290299467742443;10.38;35.30468588043004;9.66000000000001;0.0
5;50.0;4;3;1.0;0.95;80.0;8000.0;1548;0.0315369563177228;17.07;25.73718290962279;10.979999999999997;0.0
5;50.0;4;3;1.0;0.95;80.0;8000.0;1548;0.0315369563177228;17.07;25.73718290962279;10.979999999999997;0.0
10;50.0;2;0;2.0;0.95;160.0;16000.0;3780;0.0732951797544956;243.95600000000005;177.35274597723037;19.43000000000005;0.0
10;50.0;2;0;2.0;0.95;160.0;16000.0;3780;0.0732951797544956;243.95600000000005;177.35274597723037;19.43000000000005;0.0
10;50.0;2;1;2.0;0.95;160.0;16000.0;2040;0.1107969665899872;308.8384148699407;124.76292031817138;18.199999999999992;0.0
10;50.0;2;1;2.0;0.95;160.0;16000.0;2040;0.1107969665899872;308.8384148699407;124.76292031817138;18.199999999999992;0.0
10;50.0;2;2;2.0;0.95;160.0;16000.0;8665;0.1208113906905055;18.37;245.8206085395068;15.559999999999995;0.0
10;50.0;2;2;2.0;0.95;160.0;16000.0;8665;0.1208113906905055;18.37;245.8206085395068;15.559999999999995;0.0
10;50.0;2;3;2.0;0.95;160.0;16000.0;3096;0.1033404460176825;38.77000000000001;184.9581679124385;35.39000000000001;0.0
10;50.0;2;3;2.0;0.95;160.0;16000.0;3096;0.1033404460176825;38.77000000000001;184.9581679124385;35.39000000000001;0.0
10;50.0;3;0;2.0;0.95;160.0;16000.0;5901;0.1077733868733048;28.53;162.91562136355788;22.310000000000013;0.0
10;50.0;3;0;2.0;0.95;160.0;16000.0;5901;0.1077733868733048;28.53;162.91562136355788;22.310000000000013;0.0
10;50.0;3;1;2.0;0.95;160.0;16000.0;9755;0.0956046199426055;28.09;409.8578511560336;28.0;0.0
10;50.0;3;1;2.0;0.95;160.0;16000.0;9755;0.0956046199426055;28.09;409.8578511560336;28.0;0.0
10;50.0;3;2;2.0;0.95;160.0;16000.0;13796;0.1039072563871741;31.05;420.8117545749992;26.40999999999997;0.0
