LABELS;S_2;S_9;S_1;C_2;S_4;S_5;C_9;S_0;C_0;S_8;C_1;C_4;S_6;C_8;S_3;C_6;S_7;C_5;C_3;C_7
JOB ID;2;9;1;2;4;5;9;0;0;8;1;4;6;8;3;6;7;5;3;7
EVENT TYPE;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1
TIME;0.92;2.223283219102366;3.92;7.17;7.17;7.17;7.17;8.134214661302233;10.833753300287238;10.833753300287238;12.50561027837259;12.50561027837259;12.50561027837259;12.50561027837259;14.379999999999999;14.38;15.751381156113142;16.52;17.039866504854373;17.039866504854373
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;40.607686509635975;0.0;2.39125236002954;0.0;0.0;6.694855824682815;0.0;4.1462053056516694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;65.16416095511829;8.093339044881716;15.502499999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.44452525764427;0.0;19.177040154977057;4.538434587378674;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;24.065824682814338;0.0;0.0;32.44845444059975;0.0;20.095720876585915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;21.75365602226783;0.0;0.0;2.2136216839677045;0.0;1.370922722029988;0.0;0.0;0.0;1.5369995717344764;1.1245325480127784;0.0;0.6302674519872227;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.623634587378547;12.596365412621452;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;34.816628344019456;31.81337165598054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
