LABELS;S_0;S_3;S_6;S_8;S_9;C_0;S_2;C_9;C_2;C_3;S_4;C_6;S_7;C_8;S_5;C_7;S_1;C_4;C_5;C_1
JOB ID;0;3;6;8;9;0;2;9;2;3;4;6;7;8;5;7;1;4;5;1
EVENT TYPE;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1
TIME;0.02;1.693456913827649;1.693456913827649;1.693456913827649;1.693456913827649;5.34;6.577011037160523;10.06845691382765;10.49;10.49;10.49;10.49;10.49;10.49;13.041409978070176;13.041409978070176;14.307309100877193;14.307309100877193;14.307309100877193;15.412712703278794
RESOURCE JOB 0;36.9328456913827;0.0;0.0;36.757154308617295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.71;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;95.86623547094187;0.9737645290581298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;43.904378757515104;0.0;14.8936128874127;10.972008355072191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.65049890350878;0.0;8.51950109649123;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.09;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;33.83617034068121;0.0;27.263723259017937;12.1502316508016;16.62987474949921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;39.82400000000012;0.0;10.192970946202706;28.769514023737123;3.4735150300601703;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;28.005450901803652;0.0;9.500244765392821;26.814304332803523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
