LABELS;S_1;S_5;S_7;S_6;C_5;S_0;C_6;C_1;S_3;C_0;S_4;C_7;C_3;S_8;S_2;C_4;S_9;C_8;C_2;C_9
JOB ID;1;5;7;6;5;0;6;1;3;0;4;7;3;8;2;4;9;8;2;9
EVENT TYPE;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1
TIME;2.37;2.7596141479099665;2.7596141479099665;4.020681964472935;4.688092027868624;6.2678261353664535;6.267826135366454;6.267826135366455;8.625557280347719;8.84;8.84;8.84;10.44;10.44;11.02;11.02;11.02;11.8133938547486;16.32;16.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;89.1458145917417;0.0;1.8141854082582949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;3.9156221864951632;12.673731556457835;0.0;6.424318476693795;15.876327780353208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.687662709497175;0.0;89.19233729050282;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.907199999999953;0.0;52.29280000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.707200000000007;0.0;0.0;21.55279999999999;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;28.689292826807538;0.0;13.050707173192464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;7.668541628416463;48.37145837158363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;11.765762728532497;0.0;6.226935891481773;14.738919222954763;0.0;21.997631582675197;0.0;2.000750574355777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.447200000000066;0.0;22.722799999999935;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.394754469273721;0.0;63.785245530726286;0.0;0.0
