LABELS;S_8;S_0;S_6;C_0;S_1;C_8;S_5;C_1;C_6;S_7;S_3;S_2;C_5;C_7;S_4;S_9;C_2;C_3;C_9;C_4
JOB ID;8;0;6;0;1;8;5;1;6;7;3;2;5;7;4;9;2;3;9;4
EVENT TYPE;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1
TIME;0.0;2.5525180598555206;4.31;4.3100000000000005;4.3100000000000005;4.3100000000000005;4.67;7.140219333874899;7.140219333874899;7.140219333874899;9.294144024276589;10.41;10.41;10.887565406061736;12.52;12.52;13.19;13.19;15.47;15.83
RESOURCE JOB 0;0.0;34.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;8.863199999999992;0.0;60.816800000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.56196828222089;0.0;36.20943171777907;0.0;18.24860000000004;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.41203306255084;5.066968958315002;0.0;45.41229797913416;0.0;7.108699999999999;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.284700000000001;7.774800000000006;0.0;0.6104999999999929;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;24.62808675873275;0.0;0.0;54.48682916330483;11.125084077962413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;1.9187999999999974;0.0;37.3312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.144985291791954;5.255681645657269;2.2493330625507753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;25.765779153766772;17.43422084623323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8579999999999615;71.59200000000004;0.0;0.0;0.0
