LABELS;S_5;S_8;S_6;C_8;C_6;S_3;C_3;C_5;S_9;S_0;S_7;S_4;C_0;S_1;C_7;S_2;C_4;C_9;C_1;C_2
JOB ID;5;8;6;8;6;3;3;5;9;0;7;4;0;1;7;2;4;9;1;2
EVENT TYPE;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1
TIME;0.24;0.24;0.7713888888888887;1.2745330739299612;3.07;3.4230213464696213;4.68;4.68;4.68;6.73;6.73;8.459946965232765;9.69;9.69;9.69;9.91;11.094185593770277;11.094185593770277;12.51;13.96
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.065944608132007;3.6040553918679947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.848599999999976;0.36709753406878587;0.0;44.07430246593124;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.020982154444983;0.0;26.71641784555493;40.6626000000001;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;15.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.683623296560675;0.0;0.0;0.01980000000000015;0.1065767034393249;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;15.644088888888884;3.944650410722012;50.991260700389105;17.651067323481072;9.75893267651892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;10.867914396887166;38.78208560311283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.03059988214497;11.599400117855026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;10.925355555555551;10.344644444444448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.585000000000004;0.0;0.0;6.400803771361229;28.615572932078045;0.0;0.0;0.8140000000000001;27.71462329656072;0.0;0.0;0.0;0.0
