LABELS;S_0;C_0;S_1;S_5;S_7;S_3;C_1;C_7;S_6;C_3;C_5;S_8;S_4;C_6;C_8;S_2;C_4;C_2;S_9;C_9
JOB ID;0;0;1;5;7;3;1;7;6;3;5;8;4;6;8;2;4;2;9;9
EVENT TYPE;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;1
TIME;0.13;1.8132000000000001;3.0299999999999994;3.03;3.76;4.478483263598325;4.478483263598326;6.23;7.6079030097204345;8.516145859779408;8.516145859779408;8.516145859779408;9.858956254796624;9.858956254796624;10.89;11.837042488197724;12.04;13.63709631768953;13.63709631768953;18.17
RESOURCE JOB 0;84.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;27.915200000000013;0.0;27.474799999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.865184115523448;79.85481588447655;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;28.766999999999975;0.0;66.0566702859976;0.03632971400242013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.86899999999997;40.08830852540965;1.2826914745903708;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;1.5038;0.0;1.4800755230125517;3.6081244769874505;0.0;2.838480200024094;7.329519799975905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.04629298897038;0.0;46.693707011029616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;6.969287656903724;55.20071234309628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.44681273983116;0.0;0.0;24.683187260168836;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.88;0.0;0.0
