LABELS;S_2;S_7;C_2;S_5;S_9;S_6;S_0;S_3;C_7;S_4;C_5;C_6;S_1;S_8;C_3;C_0;C_1;C_9;C_8;C_4
JOB ID;2;7;2;5;9;6;0;3;7;4;5;6;1;8;3;0;1;9;8;4
EVENT TYPE;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1
TIME;0.0;1.74;2.1623337966837717;2.1623337966837717;5.18722634697682;5.21;5.831488549618302;5.831488549618302;5.831488549618302;6.72;6.72;6.72;8.14;9.76428865921112;10.099999999999998;10.1;10.395091744631682;10.395091744631682;11.66;12.94
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20435763358779058;0.0;23.83484236641221;0.0;0.37358639161855756;0.07721360838144237;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.77245441656933;7.791860219709894;0.0;8.315685363720778;0.0;0.0;0.0;0.0
RESOURCE JOB 2;37.908072352874086;3.9319276471259137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.10894083969476;0.0;9.221059160305252;0.0;9.339659790463934;1.9303402095360553;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.544600000000003;0.0;13.205466799386414;2.7293332006135813;0.0;2.39909588385558;0.0;10.283704116144435;14.487799999999986;0.0
RESOURCE JOB 5;0.0;0.0;0.0;83.30554083507053;0.22545916492948237;6.152736641221196;0.0;0.0;8.796263358778809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;19.085913358778043;0.0;0.0;29.614086641221917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;17.184762187062663;0.0;30.87458287022059;0.1958534159993519;5.344801526717397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9916078419797714;0.0;3.8066835057487083;0.0;52.96170865227148;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.15918783463202502;0.49097595419845863;0.0;0.0;0.7019240458015412;0.0;9.92580000000001;0.0;11.35377772788572;0.2652119592232145;0.0;0.23312247825902954;0.0;0.0;0.0;0.0
