LABELS;S_5;S_0;C_0;C_5;S_8;C_8;S_7;S_9;S_3;S_6;C_7;C_9;S_2;C_3;C_6;C_2;S_4;S_1;C_4;C_1
JOB ID;5;0;0;5;8;8;7;9;3;6;7;9;2;3;6;2;4;1;4;1
EVENT TYPE;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1
TIME;0.0;0.4719411651420319;3.0834;3.0834;3.0834;4.54268270042194;5.53;8.078147292712444;9.58;9.661739586062351;9.661739586062351;9.661739586062351;13.01;13.01;13.01;15.7;15.7;17.33;18.29;19.021258826393957
RESOURCE JOB 0;0.0;54.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.427200000000084;30.03279999999991;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.08;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9669793031175686;86.68302069688244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.076;0.14400000000000013;0.0;0.0
RESOURCE JOB 5;23.597058257101594;76.33294174289841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;57.4607214506656;22.5096584288209;0.4896201205134858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;69.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.32962012051356;2.6303798794864406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
