LABELS;S_6;S_1;C_6;S_8;C_8;S_7;C_1;S_2;S_5;C_2;S_3;S_4;C_7;S_9;C_4;C_5;S_0;C_3;C_0;C_9
JOB ID;6;1;6;8;8;7;1;2;5;2;3;4;7;9;4;5;0;3;0;9
EVENT TYPE;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1;1
TIME;0.12;3.64;3.64;5.480489913544668;8.84;9.32593717816684;9.82;9.82;11.98;12.35;12.35;12.35;12.35;13.2;14.413427179209526;15.08;15.93;15.93;19.3;19.3
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.75;0.0;0.0
RESOURCE JOB 1;0.0;20.53986743515849;0.0;41.663332564841504;5.423058908341929;5.513741091658081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;46.920299999999976;0.0;8.069700000000026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.893499999999975;5.144931239848397;20.183768760151747;26.79779999999988;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.946000000000026;44.82399999999997;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.99939999999998;0.0;0.0;0.0;2.660499999999999;3.7980270709258193;9.3520729290742;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;99.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;19.189399999999985;61.079700000000024;0.0;2.430899999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;93.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.904400649702197;3.7927993502977984;15.702200000000119;0.0;72.04059999999988;0.0;0.0
