LABELS;S_9;S_6;C_9;S_7;C_7;S_1;C_6;C_1;S_4;S_8;S_5;S_0;C_8;S_3;C_4;C_5;C_0;S_2;C_3;C_2
JOB ID;9;6;9;7;7;1;6;1;4;8;5;0;8;3;4;5;0;2;3;2
EVENT TYPE;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1
TIME;0.0;2.44;2.44;2.8736836403033585;4.67;4.75;5.324013157894739;6.28;6.28;6.35;7.55;8.9;8.9;9.05;9.05;10.34;12.0;13.7;13.7;16.0
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.70300000000006;0.0;22.264099999999928;0.0;47.07290000000002;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;25.210657894736926;47.79934210526308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.78;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.042900000000003;0.0;11.636600000000001;6.080499999999997;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;47.76249999999999;32.751000000000005;0.19650000000000034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.42649999999999;1.6004999999999967;0.0;33.19300000000001;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;14.85366468039004;0.0;29.75993531960995;0.4863999999999997;3.4900000000000126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;16.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.237499999999994;15.322500000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;24.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
