LABELS;S_9;S_4;C_9;C_4;S_7;C_7;S_6;S_3;S_2;C_6;S_8;S_1;C_3;S_0;C_1;C_2;C_8;S_5;C_0;C_5
JOB ID;9;4;9;4;7;7;6;3;2;6;8;1;3;0;1;2;8;5;0;5
EVENT TYPE;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;1
TIME;0.0;1.92;3.5725103330486725;3.817599999999999;3.817599999999999;5.1;5.12;5.47;7.23;7.23;7.23;7.717291666666667;9.44021875;9.81;9.81;10.72;11.06;19.52;23.09;23.09
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.128400000000001;0.42159999999999975;28.943200000000004;4.4268;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.540099999999992;3.5499000000000076;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7227479166666697;0.0;0.0;10.975045520833334;2.355506562500004;0.0;5.796699999999994;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.979200000000006;6.237333333333339;0.0;0.0;22.053466666666658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;61.96913748932522;12.06086251067478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.19;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;17.5;67.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;64.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.404502083333334;0.0;0.0;36.577741979166596;12.583655937500062;0.0;32.96670000000002;0.8873999999999995;0.0;0.0;0.0;0.0
RESOURCE JOB 9;29.513620836891597;20.656379163108404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
