LABELS;S_4;S_11;S_14;S_3;S_7;S_13;C_4;C_14;S_5;S_0;C_3;C_11;C_13;C_7;S_12;S_2;C_5;S_6;S_10;C_0;S_8;C_6;C_12;S_1;C_8;C_10;C_2;S_9;C_9;C_1
JOB ID;4;11;14;3;7;13;4;14;5;0;3;11;13;7;12;2;5;6;10;0;8;6;12;1;8;10;2;9;9;1
EVENT TYPE;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;0;1;1
TIME;1.96;1.96;3.053132605101749;3.0531326051017493;4.4866111951588445;4.4866111951588445;7.249999999999995;7.249999999999996;7.2499999999999964;7.249999999999998;7.249999999999999;7.25;8.649999999999999;8.65;8.65;9.809999999999999;9.81;9.81;10.589304403318438;10.58930440331844;10.58930440331844;11.94;12.704901433968548;13.38;13.38;13.38;13.910000000000002;13.910000000000002;15.34;17.89
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.932366241225246;14.95240000000004;0.0;0.0;10.045233758774714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.338000000000022;0.0;0.0;11.439999999999989;0.0;21.901999999999987;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.562633567326031;0.0;0.0;12.750566432673935;0.0;0.0;7.220669536663095;6.372930463336914;5.003200000000021;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;18.635221670742236;29.084778329257762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;47.85734545135456;0.0;0.0;16.421096303562237;2.9015582450832076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.706799999999994;22.643200000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.038084620293517;0.0;0.0;6.631915379706456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;56.15316624122525;0.0;0.0;0.0;0.0;0.0;0.0;36.106833758774755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.922002958525425;0.0;0.0;2.661856990210551;6.096140051264015;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.06;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.75755160433365;0.0;0.0;24.930845171553862;4.131603224112482;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.557497628601892;0.0;0.0;14.103174080929122;1.4093282904689861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.562800000000024;0.0;0.0;0.2727565411614541;0.0;0.0;0.4727434588385462;0.0;0.0;3.431699999999974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;18.265999999999995;0.0;0.0;0.0;0.0;0.0;0.0;9.254000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;17.01539086397772;30.354609136022276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
