LABELS;S_10;S_11;S_3;C_10;S_14;S_2;S_5;C_11;C_3;S_12;C_14;C_12;C_5;S_9;S_8;S_13;S_1;C_8;C_13;C_2;S_7;C_9;C_1;S_0;C_7;S_6;C_0;S_4;C_6;C_4
JOB ID;10;11;3;10;14;2;5;11;3;12;14;12;5;9;8;13;1;8;13;2;7;9;1;0;7;6;0;4;6;4
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1
TIME;0.0;0.0;0.808330748835183;2.5446780551905386;2.5446780551905386;3.68;3.9;3.9000000000000004;3.900000000000001;3.900000000000001;4.5395363134072575;5.35;6.223294679612137;6.223294679612137;6.29;7.422311715481171;7.9;7.9;9.54;10.46;10.880468969587005;10.880468969587005;11.91158442904944;12.914396757913618;12.914396757913618;14.08409060074985;15.66701912260967;15.66701912260967;15.66701912260967;19.32
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.42620744966973;0.0;35.96379255033027;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.391021338912125;0.0;0.763600000000002;0.34898924475721316;39.64638941633067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;8.472200000000011;0.0;0.0;0.0;4.1314045846108804;5.235595415389117;29.95952012505371;0.0;0.7130798749462883;7.3147336820083595;3.0858663179916377;10.594399999999993;0.0;5.943200000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;50.90970302233902;8.276496977660976;0.0;1.6037999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.95;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.099079389230809;6.840313514842748;7.370607095926442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.81;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.909383556791138;0.0;50.140616443208856;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.57829560669456;0.39170439330544027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6221861444468857;26.722556485355646;2.847022175732228;9.774399999999993;0.0;36.16520000000003;16.52863519446523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;12.302793997271486;0.0;26.42720600272851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;8.680244747254005;0.0;4.323504792824836;13.57845045992116;0.0;0.5477999999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.652724600594734;28.447275399405267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.55982133891216;29.24017866108784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;12.670192904073591;0.0;0.37619999999999987;0.0;0.0;0.0;1.0936070959264086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
