LABELS;S_0;S_11;C_0;S_1;S_9;S_14;C_11;S_7;S_6;C_9;S_10;C_7;S_3;C_6;C_10;S_13;S_4;C_14;C_13;S_8;C_1;S_2;S_12;C_4;S_5;C_3;C_2;C_5;C_12;C_8
JOB ID;0;11;0;1;9;14;11;7;6;9;10;7;3;6;10;13;4;14;13;8;1;2;12;4;5;3;2;5;12;8
EVENT TYPE;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1
TIME;0.0;0.0;1.232273838630807;3.4;3.4;3.4;3.4000000000000004;5.26;5.45;5.45;8.42609951845907;8.68;11.77;11.77;11.77;11.77;13.55300363170263;13.55300363170263;13.67;14.71;15.56;15.56;15.739999999999998;15.74;15.74;16.48;16.86;19.42;19.42;21.05
RESOURCE JOB 0;50.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;2.9574;0.30210000000000115;10.187598234349917;0.0;0.4037017656500783;4.913100000000002;2.83497577440718;0.0;0.0;0.0;0.1860242255928206;0.0;1.6536000000000008;1.351499999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.852999999999952;0.0;0.0;11.41400000000008;6.022999999999968;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.15555127109592;0.0;0.0;0.0;0.04094872890407952;0.0;0.36400000000000077;0.29749999999999943;0.0;0.06299999999999972;0.0;0.0;0.25900000000000034;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.476600000000001;0.0;49.98239999999997;37.6125;0.0;2.968499999999924;1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.7527999999999;10.628800000000044;17.028400000000055;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.841861958266456;0.0;1.0765380417335422;13.101599999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.554499999999971;51.95253723916538;0.0;1.9829627608346527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.238499999999995;0.0;0.6857999999999933;0.0;0.0;2.8194000000000017;1.4477999999999938;72.16820000000001;6.210300000000004;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;88.70339999999996;4.506600000000034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.327199999999991;77.00280000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;6.272273838630808;0.0;64.39772616136919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7547999999999995;0.9003999999999941;16.844800000000006;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.843754539628293;0.0;0.0;0.0;0.14624546037170916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;1.3392;0.1367999999999996;2.1427916532905305;0.0;0.18280834670946877;59.48249999999999;26.315900000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
