LABELS;S_12;S_1;S_2;S_7;S_6;C_12;C_2;C_7;C_1;S_9;C_6;S_11;S_5;S_8;C_9;S_10;S_0;C_8;S_13;C_5;C_11;C_10;C_0;S_3;S_4;C_13;S_14;C_14;C_3;C_4
JOB ID;12;1;2;7;6;12;2;7;1;9;6;11;5;8;9;10;0;8;13;5;11;10;0;3;4;13;14;14;3;4
EVENT TYPE;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1
TIME;1.6;1.8764661654135337;1.8764661654135337;1.8764661654135337;2.7;4.03;4.79;4.79;5.420068437085981;6.33;7.272874493927126;7.31;7.754945671727246;9.31;10.62;10.79;10.889072494669515;10.889072494669515;11.111574501398037;11.111574501398039;11.18;12.39;14.12;14.12;14.12;14.594976664210266;14.594976664210266;16.97;17.51;20.48
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.885306469340662;0.0;1.1368683772161603e-13;0.8382123578739993;14.82250000000002;53.8939811727852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;1.4658902255639101;2.367400000000001;1.3527999999999984;5.613909774436092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;10.425938345864665;16.8378;7.726261654135335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0468011790714655;0.0;0.0;0.0;69.63239882092864;4.600800000000021;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36573203144190636;0.0;0.0;0.0;1.8287679685580933;0.4158000000000026;67.8197;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.47831834930004;14.71129999999998;1.9091000000000093;1.1125841151386595;2.4986975355613055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;6.570200000000002;3.754399999999997;3.11253807920475;0.0;4.495061920795251;4.6578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;4.3812000000000015;7.0756;4.043199999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.54430000000003;6.177799999999991;2.787899999999979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.48592469635628;1.711857085020256;0.3604059940990689;7.760712224524404;1.0610999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8123944562900363;1.8245164551738746;0.0;0.0;1.0434888536799747;30.72960023485618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.462805087424272;15.59719491257573;3.1832999999999956;0.4131;0.24074616204692134;1.9165798763503155;0.0;0.0;0.16627396160276575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;8.058988721804504;0.0;0.0;20.9820112781955;33.648999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3732997569413499;14.947899765143802;32.6060188272148;9.53278165070003;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.29;0.0;0.0;0.0
