LABELS;S_3;S_5;S_9;C_5;S_11;S_1;S_8;C_11;S_7;C_7;S_13;C_1;S_6;S_2;S_14;S_0;C_6;C_9;C_13;C_3;C_8;S_10;S_12;C_2;S_4;C_10;C_12;C_14;C_0;C_4
JOB ID;3;5;9;5;11;1;8;11;7;7;13;1;6;2;14;0;6;9;13;3;8;10;12;2;4;10;12;14;0;4
EVENT TYPE;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1
TIME;0.0;0.0;0.0;2.363949579831933;2.92;4.425524965380025;4.75;4.75;4.88;7.36;8.74222802369447;8.79;8.86;8.98;11.615174938974782;11.87;11.87;11.87;11.87;12.15;12.15;12.150000000000002;12.150000000000002;13.42;16.94;16.94;16.94;16.94;19.55;19.55
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40320000000000533;0.0;0.0;0.0;0.0;1.828800000000001;0.0;0.0;5.0687999999999995;9.879199999999994;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;10.052236572526823;0.3652999999999995;0.0;39.3168;42.82142417405464;0.1342392534185386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.195005370219747;2.276494629780231;1.8676000000000244;0.0;0.0;0.0;0.0;8.4709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.6619058823529413;0.0;0.15569411764705876;14.531867353473991;0.09085300969359289;0.03639999999999999;0.0;0.6944000000000004;0.3870238466344511;0.18105579019796494;0.019600000000000062;0.033600000000000296;0.7378489829129391;0.07135101708706011;0.07840000000000069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.65;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;72.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.185600000000008;13.960657607811234;0.5937423921887586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;1.3271999999999977;0.0;16.4672;9.177994077331277;0.3172059226687196;0.46479999999999677;0.7968000000000117;17.497561594792543;1.692038405207441;1.8592000000000155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;45.24557310924371;0.0;16.397926890756295;2.514226692184642;0.5418733078153579;0.2171000000000003;0.0;4.1416;2.3083207995697634;0.07977920043023445;0.11690000000000111;0.2004000000000019;4.400742148087886;0.42555785191211015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.046199999999999;0.0;0.0;71.4038;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;58.230154223342616;0.24984577665738072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.9692;0.0;0.0;43.5008;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6763186485610504;0.2926000000000002;1.1789813514388285;67.96693124491472;1.065168755085402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.616899999999838;9.791600000000068;0.0;0.0;0.0;0.0;6.184899999999999;0.0;0.0;56.0266000000001;0.0;0.0;0.0;0.0;0.0;0.0
