LABELS;S_5;S_13;C_5;S_3;S_8;C_13;C_3;S_4;S_1;S_7;S_2;C_7;S_11;C_1;C_11;C_2;S_0;C_4;C_8;S_9;S_14;C_0;C_9;S_10;C_14;C_10;S_12;S_6;C_12;C_6
JOB ID;5;13;5;3;8;13;3;4;1;7;2;7;11;1;11;2;0;4;8;9;14;0;9;10;14;10;12;6;12;6
EVENT TYPE;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1
TIME;0.0;1.6049158233073053;1.630788101809261;3.44;3.44;3.490326425939991;5.055684465854213;5.055684465854213;6.329859154929581;6.329859154929581;9.12794183917164;9.12794183917164;11.187708959711363;13.82;13.820000000000002;14.36347171068461;14.397325222835175;14.397325222835175;14.397325222835175;15.658205394190869;17.47;18.2;18.2;19.01;19.01;20.102970521541952;20.102970521541952;21.784215888480425;21.784215888480425;24.12
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.91710723496442;3.2612302904564343;4.211662474579146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.79958058717793;21.936519833748065;0.0;28.03389957907399;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.75502648361596;0.0;0.31587492483463664;20.679098591549405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.1061887587333814;0.0;13.383811241266619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.30009002956763;0.0;7.023187537447569;5.170015472554706;0.0;6.6070505111244735;1.3641139938183713;0.0;1.5755424554872945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;52.336304998051226;0.8436950019487739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.36;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;2.3638322264013993;0.0;64.88409075444451;0.0;4.408644424200773;0.0;9.681366087477528;7.126794237067443;0.0;9.107726999398693;1.8804121189687493;0.0;0.11713315204095485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.32850000000003;8.431499999999971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.28;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.68;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.3994679800701988;27.93423170806501;0.04630031186479178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.85683752542094;25.943162474579058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
