LABELS;S_0;S_2;S_12;C_0;S_8;S_1;C_2;C_12;C_8;S_3;S_5;S_6;C_1;C_3;C_6;S_13;C_5;S_7;C_7;S_9;S_10;S_11;C_13;S_4;C_10;C_4;S_14;C_9;C_11;C_14
JOB ID;0;2;12;0;8;1;2;12;8;3;5;6;1;3;6;13;5;7;7;9;10;11;13;4;10;4;14;9;11;14
EVENT TYPE;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1
TIME;0.0;1.517259539577419;1.517259539577419;3.8;3.8;4.5;5.1899999999999995;5.1899999999999995;5.19;6.8309916821473395;8.486804342331556;8.486804342331556;9.15;9.15;11.094855189789184;11.094855189789184;12.542496333235553;12.542496333235553;13.93;13.93;13.93;13.93;13.93;16.875357548240636;16.875357548240636;22.99;22.99;23.19;23.19;25.88
RESOURCE JOB 0;27.750676978870995;4.329323021129003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.9176999999999991;0.0;0.0;82.04958410736697;2.202230838045006;2.6104850545880254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;83.3849;0.0;0.0;0.063;0.06209999999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.58840217116578;0.33159782883422206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.87;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.88874251465657;0.0;43.661999010767175;0.0;0.0;16.409258474576248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.260567008390108;0.0;18.359432991609893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;28.322000000000003;25.537999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.496845402951195;0.0;0.0;61.99715459704878;0.0;0.0;1.2560000000000286;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.210439727582296;0.0;0.0;65.78156027241769;0.0;0.0;0.21800000000000352;0.0;0.0;0.0
RESOURCE JOB 12;0.0;26.42280000000002;0.0;0.0;6.614999999999995;7.982199999999989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.50481666177775;0.0;22.075183338222246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9840000000000373;0.0;15.115999999999964;0.0
