LABELS;S_9;S_13;C_13;S_6;S_14;S_5;C_9;C_14;S_0;C_6;S_2;S_3;C_5;C_2;S_11;S_10;C_0;C_3;S_4;C_11;C_10;S_12;S_7;S_8;C_7;C_12;C_4;S_1;C_8;C_1
JOB ID;9;13;13;6;14;5;9;14;0;6;2;3;5;2;11;10;0;3;4;11;10;12;7;8;7;12;4;1;8;1
EVENT TYPE;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;1
TIME;0.0;1.3065894279507602;2.9;6.55;6.55;8.38;8.38;9.13;10.45;10.69;10.75;10.75;10.75;12.2;12.46;13.56;13.69;13.69;13.69;14.7;14.733383128295253;14.733383128295253;15.07;16.65;18.76;18.76;20.56;22.21;22.21;27.44
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.37939999999999;0.46860000000000923;0.0;35.494000000000014;0.0;11.616799999999984;38.245900000000006;1.0152999999999963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.23;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.865999999999985;0.0;1.3832000000000164;7.949200000000005;0.691599999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.817699999999988;0.1592375219683646;0.0;3.241620474516594;8.220742003515113;10.064700000000016;72.84599999999992;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;21.912200000000013;47.903199999999984;2.9832000000000107;2.5313999999999908;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;52.630800000000036;0.0;3.7650000000000006;18.09679999999996;3.6373999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.994657996484818;27.845342003515185;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.27150000000003;17.153999999999968;0.0;15.724500000000006;0.0;0.0;0.0
RESOURCE JOB 9;26.063582910934098;8.604417089065894;19.710000000000004;0.0;9.882000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6771999999999956;0.0;0.0;30.613100000000017;1.139699999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.80489999999999;1.115900000000014;0.0;0.0;15.069199999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.589223110720695;63.784599999999955;4.106176889279354;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;44.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;28.987200000000016;0.0;11.822799999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
