LABELS;S_0;S_14;S_10;S_5;C_0;C_14;S_8;C_10;S_1;C_8;S_12;S_13;S_9;C_5;S_11;C_12;C_13;S_3;C_11;C_1;S_2;C_3;S_4;C_2;S_7;C_9;S_6;C_7;C_4;C_6
JOB ID;0;14;10;5;0;14;8;10;1;8;12;13;9;5;11;12;13;3;11;1;2;3;4;2;7;9;6;7;4;6
EVENT TYPE;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;1;1
TIME;0.0;2.49;2.4900000000000007;5.234364019897093;5.34;5.34;5.376260236578709;5.376260236578709;7.480585101704618;7.480585101704618;7.480585101704618;7.480585101704618;7.94;7.940000000000002;10.441750598377224;10.441750598377224;10.441750598377226;13.731310438319023;13.731310438319023;15.39;15.39;16.03;16.69;17.46;17.46;17.46;18.936125501641737;18.936125501641737;22.12;22.12
RESOURCE JOB 0;49.4215;0.0;11.553772523766758;0.4447274762332398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.903760665415511;17.401771553292114;0.0;0.0;8.774467781292373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.08800000000004;0.0;32.16840000000002;13.453599999999941;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.70680000000004;0.0;14.16319999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.203751258664695;0.0;7.572523823422102;0.0;0.0;71.9237249179132;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;1.8211642969741142;0.0;0.6251264786169486;20.396243256295463;0.0;0.0;0.0;1.0474659681134737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.27;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.16;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;84.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.92704820010135;56.64622044379786;0.0;0.0;3.5248313561007834;0.0;0.7487999999999992;0.0;0.7722000000000016;0.9009;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;30.160560578669045;1.1609394213309443;0.0;0.39850000000001273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.502344135903229;0.0;0.0;27.847655864096772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.4209348107524;0.0;1.1368683772161603e-13;84.40906518924749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;88.4687834172831;0.9412165827168977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
