LABELS;S_10;S_13;S_9;C_13;S_5;C_5;S_15;S_8;C_9;C_15;S_18;S_3;C_8;S_4;C_10;S_12;S_19;C_4;S_16;C_18;S_2;C_16;S_1;C_12;C_19;C_3;S_11;S_17;C_2;S_0;C_1;C_0;C_17;S_14;S_6;S_7;C_11;C_14;C_6;C_7
JOB ID;10;13;9;13;5;5;15;8;9;15;18;3;8;4;10;12;19;4;16;18;2;16;1;12;19;3;11;17;2;0;1;0;17;14;6;7;11;14;6;7
EVENT TYPE;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1
TIME;0.19;3.07;4.14;5.23;5.56;7.175985576923076;7.175985576923076;8.227178153446031;8.227178153446031;8.939456754867939;8.939456754867939;10.3;10.3;11.86;11.86;11.86;11.86;14.855692385021358;14.855692385021358;14.855692385021358;16.28;16.49;17.74;17.74;18.38;18.380000000000006;18.380000000000006;18.64;18.985404120443746;20.99;20.99;24.30765509627187;24.307655096271873;25.15363667592248;27.10182320441989;27.10182320441989;27.10182320441989;27.10182320441989;32.53;32.53
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.080000000000318;1.430000000000021;0.0;0.0;1.89972266244059;74.27027733755907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.095899999999872;33.56349302694171;0.0;7.296000000000106;10.126999999999953;-3.410605131648481e-13;0.0;3.937606973058706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.816399999999994;0.0;7.279532495601899;0.0;0.0;0.0;0.0;3.461067504398101;0.0;0.5102999999999938;3.0374999999999943;0.0;1.5552000000000206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;26.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.65;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.28;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.477422444934449;0.0;0.0;10.46257755506555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;9.072400000000005;1.930499999999995;40.147623427340704;0.0;6.149476572659289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
