LABELS;S_1;S_9;S_18;S_19;C_1;S_7;S_12;S_11;C_9;C_7;C_11;S_4;S_10;S_14;C_4;S_15;S_5;C_18;S_13;C_5;C_10;C_13;C_14;S_16;S_3;C_12;C_15;S_2;C_3;C_16;S_17;S_0;S_8;C_17;C_19;S_6;C_8;C_0;C_2;C_6
JOB ID;1;9;18;19;1;7;12;11;9;7;11;4;10;14;4;15;5;18;13;5;10;13;14;16;3;12;15;2;3;16;17;0;8;17;19;6;8;0;2;6
EVENT TYPE;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1
TIME;0.0;0.5432171020364627;0.5432171020364627;0.5432171020364627;2.56;3.14;3.1400000000000006;3.5;3.5296385542168647;4.569999999999999;4.971992518399561;5.18;6.697184265010354;6.9;6.900000000000001;6.900000000000001;7.07;7.07;10.12;12.724852941176472;12.724852941176472;12.724852941176472;12.724852941176472;12.724852941176472;13.75;16.08;16.08;16.41;16.41;16.41;16.41;16.989095476527893;17.920197916761897;17.920197916761897;19.96196629213483;19.961966292134832;19.961966292134832;20.575036973626876;20.575036973626876;22.91
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.20864334202753;10.698866286954171;0.0;0.0;3.212490371018302;0.0;0.0;0.0;0.0
RESOURCE JOB 1;10.304828425631696;0.0;28.0651715743683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.674850238387837;0.0;0.0;0.0;13.947914554705363;10.43343639815568;0.0;0.0;9.183798808750794;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.54279999999997;0.0;8.857200000000034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.912679089026916;0.5273209109730814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.329929411764695;48.890070588235304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.365063252223365;0.0;16.624936747776644;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;5.270399999999988;0.13870843373492647;15.230891566265086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.27999999999975;0.0;2.5579538487363607e-13;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;21.79783614457833;0.0;0.05800000000000005;0.0;4.921199999999985;0.0029638554216864788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
