LABELS;S_10;S_19;S_8;C_10;S_16;S_6;C_8;S_4;C_19;S_11;C_6;S_7;C_11;C_4;S_3;C_16;S_9;S_13;S_12;C_13;S_1;C_1;C_3;C_12;S_15;S_18;S_0;S_2;C_7;C_9;C_15;S_17;C_2;S_5;C_18;C_0;S_14;C_17;C_5;C_14
JOB ID;10;19;8;10;16;6;8;4;19;11;6;7;11;4;3;16;9;13;12;13;1;1;3;12;15;18;0;2;7;9;15;17;2;5;18;0;14;17;5;14
EVENT TYPE;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1
TIME;1.99;2.599291655426881;3.5096150999259814;3.5096150999259814;4.5134734873345685;5.196864381038573;5.196864381038573;5.72;6.28;6.59;8.21;8.21;8.272943476778547;8.272943476778549;9.396491232573883;9.396491232573883;10.36;10.36;12.01;12.01;13.34032999652637;14.803324833015182;14.803324833015182;14.803324833015182;14.803324833015182;16.02;16.658595679012343;16.658595679012343;16.658595679012343;16.658595679012343;16.658595679012343;16.658595679012343;17.99;19.217699926982988;19.21769992698299;22.12201744921854;22.12201744921854;22.12201744921854;23.23;24.67546881913408
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0564429012345755;0.0;0.0;15.680674230916999;15.392882867848428;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.08257522786793;0.0;0.0;14.041500000000013;11.321108270439396;0.0;23.224816501692665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.19520000000003;9.122655266708485;17.599644837352365;0.0;2.5724998959391243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.61684776956925;0.0;5.57315223043075;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;19.4292568882274;0.0;2.43599999999995;1.2368999999999986;29.26784311177265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20204856045914132;0.0;55.13248837687698;3.09286314343783;0.0;0.0;5.296499999999995;5.587385985410805;0.0;4.696213425129088;0.0;0.0;0.0;15.512608379056537;2.049892129629619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;43.01533190045794;0.0;19.804668099542063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.158000000000001;14.340957362554263;0.0;4.075760105532872;0.0;0.0;0.0;3.0660214208017393;1.6092611111111097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;8.231530264817163;12.298469735182838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.62591205087505;0.0;0.3140879491249464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.26704820791406;0.0;15.652951792085958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
