LABELS;S_15;S_18;S_4;C_15;S_6;C_4;S_5;C_18;S_12;S_17;C_6;S_14;C_17;S_2;C_12;S_3;S_11;C_14;C_5;S_13;C_11;S_19;C_3;S_0;S_1;C_19;C_2;S_10;C_13;S_16;C_0;C_1;C_16;S_7;C_10;C_7;S_8;S_9;C_9;C_8
JOB ID;15;18;4;15;6;4;5;18;12;17;6;14;17;2;12;3;11;14;5;13;11;19;3;0;1;19;2;10;13;16;0;1;16;7;10;7;8;9;9;8
EVENT TYPE;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1
TIME;0.0;0.0;1.991277226659578;1.991277226659578;1.9912772266595782;3.7375458833759962;3.7375458833759962;3.7375458833759962;4.74;5.067815275310836;5.067815275310837;5.067815275310837;6.36;7.26;8.017604820754;8.017604820754002;10.765027655741505;10.765027655741505;11.87;11.87;12.158264094955484;12.158264094955484;12.158264094955486;12.491303431599896;14.42076893795204;14.57;15.46;15.46;15.46;15.46;15.56;15.56;16.95887417218543;16.958874172185432;18.27633506439882;19.21;19.21;19.21;21.693555349268976;22.17
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.49385885039982;1.3699411496002654;8.170199999999994;0.0;1.2659999999999627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.920299999999969;25.836700000000008;0.0;2.90300000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6744217440521965;48.506615884984186;0.0;20.89866237096372;0.0;0.0;1.7785894658753563;0.0;2.0548527070960176;-1.1368683772161603e-13;11.904802174192739;0.9207556528359078;5.491299999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.81670422754161;0.0;3.4659778199361426;0.0;0.0;0.8273179525222503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;16.831204618117027;0.0;0.48516660746003826;1.9124333925399633;0.0;0.0;1.331999999999999;1.1212551347159234;7.362581177664481;0.0;1.6353590695025702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;38.87194029850747;0.0;8.767855083375288;0.0;2.7602046181172426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.734148681055366;35.24585131894464;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.267767463448614;0.0;3.2922325365513885;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.91;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4170000000000016;0.0;0.0;0.0;15.919188079470189;0.0;5.493811920529794;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.248617952522324;0.0;0.0;5.0013820474776765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.145392539964554;22.910435168738843;0.0;0.0;36.225;25.819172291296468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.805915281899047;0.0;5.718285410184535;0.0;7.69856737034506;0.5954319375713624;5.001800000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.68636767317939;0.0;0.0;7.442999999999998;6.2653918676356;24.68524045918501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 15;0.0;64.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41399999999998727;0.0;0.0;0.0;39.88600000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 18;0.0;35.3938613329789;0.0;0.0;33.846138667021094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.878828714940028;0.0;20.37604692266942;0.655124362390552;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
