LABELS;S_18;S_1;C_1;S_11;C_11;S_4;C_4;S_5;S_6;C_18;C_6;S_13;S_2;C_5;S_10;C_13;C_2;C_10;S_12;S_0;S_15;C_0;C_12;S_14;C_15;S_19;S_17;S_8;C_17;C_19;S_7;C_8;C_14;C_7;S_9;S_3;C_3;C_9;S_16;C_16
JOB ID;18;1;1;11;11;4;4;5;6;18;6;13;2;5;10;13;2;10;12;0;15;0;12;14;15;19;17;8;17;19;7;8;14;7;9;3;3;9;16;16
EVENT TYPE;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1
TIME;0.88;1.2298952879581146;3.7236125654450256;3.7236125654450256;5.21;5.492347924957362;6.56;6.56;6.67;6.67;9.68;9.680000000000001;11.306875150976357;11.306875150976357;12.54292351008916;12.54292351008916;13.87;13.870000000000001;13.9;14.315956964892417;16.67;17.14;17.14;17.812184873949583;17.812184873949583;17.812184873949583;19.33;20.48;21.83;21.83;22.882233597021873;24.06;24.06;25.32;25.32;28.069437454131258;29.615977415144904;29.615977415144904;29.615977415144904;31.283977415144903
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.37920000000001;0.7707999999999977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;95.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.111337198869307;0.0;19.64866280113069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.47;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;37.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2637;0.0;63.40000000000012;19.786299999999883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
