LABELS;S_15;S_9;S_8;C_15;S_13;S_11;C_8;S_16;C_9;S_12;S_14;S_4;S_17;S_19;C_11;C_16;C_14;C_12;S_10;C_19;C_13;C_4;S_7;S_2;C_17;S_1;S_5;S_6;C_10;S_3;C_7;C_2;C_1;C_3;C_6;C_5;S_18;S_0;C_0;C_18
JOB ID;15;9;8;15;13;11;8;16;9;12;14;4;17;19;11;16;14;12;10;19;13;4;7;2;17;1;5;6;10;3;7;2;1;3;6;5;18;0;0;18
EVENT TYPE;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1
TIME;0.0;0.9918063380281692;2.33;2.33;2.72;3.7899999999999996;3.79;3.79;4.16;5.14;7.629999999999998;7.629999999999999;7.63;8.159999999999998;8.16;8.16;9.94;10.03;10.42792765382015;10.42792765382015;12.15;13.586923415040038;13.586923415040038;14.681689158794425;14.681689158794425;14.681689158794427;14.681689158794427;14.681689158794427;14.681689158794427;17.16519795405874;17.54;18.35;18.909819744482057;18.909819744482057;18.909819744482057;19.523390000000003;19.523390000000003;20.41803407601573;22.92;22.92
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.09;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.655803571308368;0.0;0.0;0.0;0.0;0.0;1.0044694831225698;2.0894100303571603;1.500316915211907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.740028650270844;0.0;0.0;0.0;0.0;0.0;3.9166813800862768;13.033289969642876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.400897482013534;11.672100000000057;8.06700251798641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.747300000000001;2.5098000000000003;0.0;0.0;0.1269000000000009;0.5610779918864139;0.0;46.87480926301555;41.89011274509804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.159494935651963;0.0;0.0;0.0;0.0;0.0;3.19331343141954;6.901200000000017;9.817478857031176;30.678512775897303;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.86147388022023;0.0;0.0;0.0;0.0;0.0;3.1483371859065983;6.804000000000002;8.60618893387317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
