LABELS;S_13;S_18;S_14;C_13;S_8;S_10;S_2;C_18;C_10;S_15;S_16;S_5;C_15;C_2;C_8;C_14;S_0;C_5;S_7;S_12;C_16;C_0;C_7;S_4;S_9;C_12;S_6;C_4;S_17;C_9;C_17;S_19;C_6;S_11;S_1;C_11;C_19;S_3;C_3;C_1
JOB ID;13;18;14;13;8;10;2;18;10;15;16;5;15;2;8;14;0;5;7;12;16;0;7;4;9;12;6;4;17;9;17;19;6;11;1;11;19;3;3;1
EVENT TYPE;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1
TIME;0.0;0.73;1.097187500000001;2.35;2.3500000000000005;2.75;4.23;4.23;4.72;4.72;4.72;5.408209483368713;6.58;7.73;7.730000000000001;7.730000000000006;8.575909219058358;8.575909219058358;8.575909219058358;8.575909219058358;8.6;10.78;12.48;13.431948658109684;13.431948658109684;13.66;14.56;15.05;16.710191695767886;17.74;18.285392614252387;18.285392614252387;18.28539261425239;20.76;21.847121212121213;21.847121212121213;21.847121212121213;23.026690647482013;24.39;25.47
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13900380603326568;0.0;35.37099619396673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.979501798561046;0.0;0.0;34.05546762589938;14.075030575539571;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8819999999999979;0.0;0.0;1.2387770700636835;12.116313941967505;7.202908987968815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.11;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.312450875145885;0.0;13.84164912485413;9.265899999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.55030898796889;11.415291012031382;30.004399999999897;0.0;-1.7053025658242404e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.034800000000018;27.491870493685404;1.6888856189406631;0.8944438873739173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
