LABELS;S_4;S_19;C_19;S_6;C_4;C_6;S_9;S_16;S_0;C_9;S_14;C_16;C_0;S_3;C_14;S_12;S_5;S_7;C_12;C_7;S_11;C_3;S_17;S_18;C_11;S_15;C_18;S_8;S_1;S_10;C_5;C_10;C_8;C_1;S_13;C_15;C_13;C_17;S_2;C_2
JOB ID;4;19;19;6;4;6;9;16;0;9;14;16;0;3;14;12;5;7;12;7;11;3;17;18;11;15;18;8;1;10;5;10;8;1;13;15;13;17;2;2
EVENT TYPE;0;0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1
TIME;0.0;0.0;1.67;2.3571277599009264;4.398686201459368;4.398686201459368;4.398686201459368;4.398686201459368;7.042786781730161;7.042786781730161;7.042786781730161;7.042786781730161;8.28;10.97;10.97;12.147156558429856;13.388622421883673;13.388622421883674;13.388622421883674;14.726532751718878;14.726532751718878;14.72653275171888;15.747311129163283;15.747311129163284;16.48;17.24;17.240000000000006;17.35;17.969999999999995;17.97;20.89;21.159999999999997;21.16;21.51;21.78;21.78;25.51;31.34;33.62;35.47
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9650999999999925;1.6523999999999717;0.0;1.7725000000000364;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.22;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.8578279214928;0.0;25.735128428581007;0.0;0.0;12.777043649926199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;15.299999999999997;18.57993462772105;49.09006537227894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.498472841833973;0.0;0.0;5.542826589523088;0.0;3.9785005686433834;4.126799999999989;0.0;0.5972999999999757;0.0;0.0;4.436099999999556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;39.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
