LABELS;S_6;S_11;S_15;S_5;C_6;C_15;S_19;C_11;C_5;S_9;S_16;C_19;C_9;S_12;S_8;S_10;C_12;C_16;S_4;S_13;S_1;S_7;C_8;C_4;S_0;C_1;S_17;C_17;C_7;C_13;S_14;C_0;S_3;S_2;C_10;C_14;C_3;S_18;C_2;C_18
JOB ID;6;11;15;5;6;15;19;11;5;9;16;19;9;12;8;10;12;16;4;13;1;7;8;4;0;1;17;17;7;13;14;0;3;2;10;14;3;18;2;18
EVENT TYPE;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;1
TIME;0.0;0.0;0.0;3.8301139177810795;3.8301139177810795;3.8301139177810795;6.32;7.079999999999999;7.08;7.85;9.1484502888184;9.1484502888184;10.91;10.952224753227032;12.24;12.24;12.24;12.24;12.35;12.35;14.949999999999996;14.949999999999998;14.95;15.139999999999999;15.14;17.99;17.99;19.74;20.96;20.96;22.41242929659174;22.71;22.71;23.47;24.27;24.27;24.270000000000003;25.02740560574473;25.41;26.41
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.414999999999999;3.3249999999999957;0.0;2.318000000000005;62.84661566352432;0.0;0.5653843364756952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.314900000000023;0.0;0.0;50.31509999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.402800000000084;35.34811962010646;0.0;0.0;1.3390803798934612;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.768799999999942;11.341200000000057;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.29399999999998;0.0;1.1368683772161603e-13;1.5960000000000178;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;52.71088836057457;0.0;0.0;12.379111639425432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;77.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5890999999999593;0.0;0.0;54.405399999999986;1.7675000000000018;0.0;30.988000000000056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.40200000000001;0.0;0.0;0.0;6.317999999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.05313258024122;14.126867419758788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7402999999999906;0.0;0.0;0.0;17.497999999999976;0.0;0.0;0.0;0.0;0.0;9.649999999999984;6.834800000000023;0.0;8.210600000000028;9.774849166062381;0.0;2.0026508339375937;0.0;5.1148000000000025;5.3840000000000146;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;35.81284061416543;0.0;0.0;7.444759385834574;0.0;0.0;2.2723999999999975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
