LABELS;S_12;S_11;S_3;S_5;C_11;C_12;C_3;S_8;C_5;C_8;S_19;S_0;C_19;S_10;S_17;C_0;C_10;S_13;S_4;S_15;C_17;S_9;C_13;S_2;S_1;C_4;C_15;C_2;C_1;C_9;S_16;S_14;S_7;S_18;C_16;S_6;C_14;C_6;C_7;C_18
JOB ID;12;11;3;5;11;12;3;8;5;8;19;0;19;10;17;0;10;13;4;15;17;9;13;2;1;4;15;2;1;9;16;14;7;18;16;6;14;6;7;18
EVENT TYPE;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1
TIME;0.0;0.2531555108403222;2.3436915913595184;2.3436915913595184;2.3436915913595184;2.3436915913595184;4.673090489187486;4.673090489187486;6.11;6.11;6.11;7.88;8.65;10.182887323943662;10.182887323943662;11.4;11.60746558321046;11.60746558321046;11.86;14.21;14.41;14.6;14.6;14.79;18.5;18.89;18.89;19.795013416815742;19.97;20.69;20.69;22.099427423405324;22.099427423405327;23.210376237623763;24.56;24.768056204108166;26.25311485928806;26.321166753969685;26.321166753969685;39.16
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.79429999999999;27.938391549295773;11.75730845070423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.689899999999966;25.93768452593922;0.0;1.1024154740608125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.21137365831842;2.2191000000000116;5.149526341681565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;38.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.210400000000007;0.8939999999999984;0.8492999999999995;0.8492999999999853;0.0;16.583700000000007;1.743300000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;32.84452445937434;0.0;3.405475540625657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.803675077167625;2.996324922832372;0.0;0.0;0.0
