LABELS;S_2;S_13;S_23;C_2;C_13;S_19;S_28;S_21;C_23;C_21;S_26;C_28;S_0;C_26;S_4;S_29;S_6;C_0;S_27;C_6;S_22;C_29;S_5;S_9;S_3;C_4;C_9;S_18;S_7;C_5;C_19;C_22;S_16;C_27;C_3;C_7;S_10;S_25;C_16;C_18;S_1;S_20;S_8;S_11;S_12;C_8;S_14;C_20;C_12;S_15;S_17;C_25;C_1;S_24;C_10;C_11;C_17;C_15;C_24;C_14
JOB ID;2;13;23;2;13;19;28;21;23;21;26;28;0;26;4;29;6;0;27;6;22;29;5;9;3;4;9;18;7;5;19;22;16;27;3;7;10;25;16;18;1;20;8;11;12;8;14;20;12;15;17;25;1;24;10;11;17;15;24;14
EVENT TYPE;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1
TIME;0.47464751811471595;1.12;2.762647952660513;4.5559783868762675;4.5559783868762675;4.555978386876268;4.555978386876268;4.659289527646038;4.659289527646038;6.316094261373848;6.316094261373848;6.316094261373848;7.853985199625652;7.853985199625653;9.379428076256499;9.379428076256499;9.586312038915876;9.66;10.52;11.79;12.59;12.59;13.499693593314763;13.499693593314763;14.71;14.71;14.71;14.71;16.58;16.615958473269412;16.615958473269412;16.615958473269412;17.43;18.404393063583814;21.08782660233982;21.08782660233982;21.08782660233982;21.08782660233982;22.72;22.72;23.19;23.19;24.08;24.08;25.629999999999995;25.63;25.63;26.62;26.764315424610047;26.764315424610047;26.764315424610047;26.764315424610047;26.92;26.92;30.82;30.82;30.82;31.694890793131208;31.694890793131208;32.9327140427927
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.08909068634665;0.0;0.0;6.347199974389724;0.49370933926363136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.909876603119567;0.0;5.177000000000007;3.3066000000000173;0.0;0.0;1.6365369150779614;0.0;0.519986481802448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;6.982713853998774;17.77345084778675;19.40383529821447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.436953687130995;0.0;0.0;0.0;0.1977716029817742;0.0;0.0;4.477228397018223;5.359161849710986;14.758884463158026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5847311539708215;0.5644497819043863;6.587600000000009;9.728199999999987;6.128000000000014;17.78607198891587;0.0;9.270947075208909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.1332590529248;0.0;9.489789814278655;0.0;0.0;0.0;0.07695113279654464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7670373067972451;14.837762693202766;30.17519999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
