LABELS;S_10;S_24;C_10;S_14;C_24;S_26;S_17;S_12;S_3;C_14;C_26;C_17;S_15;C_12;S_1;S_19;C_1;C_3;S_8;C_15;S_6;S_20;C_8;S_18;S_5;C_20;C_6;S_9;C_19;C_18;S_29;C_5;C_9;S_13;S_0;C_13;S_7;C_29;C_7;S_27;S_22;S_16;S_23;C_0;C_23;S_4;S_2;S_11;C_16;S_25;C_27;S_28;C_22;C_11;C_4;C_2;S_21;C_28;C_25;C_21
JOB ID;10;24;10;14;24;26;17;12;3;14;26;17;15;12;1;19;1;3;8;15;6;20;8;18;5;20;6;9;19;18;29;5;9;13;0;13;7;29;7;27;22;16;23;0;23;4;2;11;16;25;27;28;22;11;4;2;21;28;25;21
EVENT TYPE;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1
TIME;0.0;0.0;2.927179487179487;2.927179487179487;2.927179487179487;4.6328897459038;5.88297511665482;6.019999999999999;6.02;6.02;6.98;8.916701778342649;9.091564351170007;10.280847918710055;10.38;10.380000000000003;12.560870471722701;12.560870471722701;12.560870471722701;12.560870471722701;14.626233735638868;15.505191007507051;16.51;16.812151569490485;17.16;17.16;18.2;18.2;18.2;22.242675535835488;22.932239136451702;24.22;24.22;24.22;25.88;26.14;26.21;26.21;28.17621621621622;28.29;29.62104054714216;30.21;30.21;33.5;33.50000000000001;35.1;35.62;35.62;35.62;35.62;35.62;35.62;37.29;38.19;39.37;40.49245260663506;40.49245260663506;41.980309047536004;42.25228876900495;46.91
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7343999999999653;0.6397999999999797;0.0;17.97121621621622;3.8451837837837957;12.165710600879379;5.383089399120649;0.0;30.070600000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.9692;0.0;0.0;0.0;0.0;22.16700000000008;12.696799999999996;18.946999999999925;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.479999999999972;0.0;8.056679397905416;7.634499929642459;4.947419640966601;4.328979869119053;0.0;9.072421162366425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.559799999999974;0.0;17.702000000000055;0.0;0.0;0.0;0.0;9.539999999999964;23.558200000000006;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.446400000000011;0.0;0.0;54.48691993281936;0.0;22.576312284174833;9.220367783005798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.73236880437116;4.2804863080199596;6.559710573638313;1.4818343139705235;31.345599999999973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.26049530907636;0.0;10.125587771921474;17.533916919002166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.32834353282888;0.0;3.90292997948778;7.288726487683334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;28.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
