LABELS;S_16;S_0;S_1;S_3;C_0;C_16;C_1;C_3;S_22;S_29;S_19;S_21;S_26;C_29;C_19;C_22;S_25;S_24;C_26;S_10;S_17;C_21;S_4;C_4;C_10;C_24;S_12;S_7;S_14;S_28;C_12;S_5;C_14;S_18;C_7;C_5;C_28;S_9;C_18;C_17;S_2;C_9;S_11;S_15;S_27;C_25;C_2;S_20;S_6;S_23;C_11;S_13;C_27;C_20;C_6;S_8;C_15;C_8;C_13;C_23
JOB ID;16;0;1;3;0;16;1;3;22;29;19;21;26;29;19;22;25;24;26;10;17;21;4;4;10;24;12;7;14;28;12;5;14;18;7;5;28;9;18;17;2;9;11;15;27;25;2;20;6;23;11;13;27;20;6;8;15;8;13;23
EVENT TYPE;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1
TIME;0.0;2.7441298630137005;2.7441298630137005;3.9400044889779573;3.9400044889779577;3.9400044889779577;5.3177600000000025;5.3177600000000025;5.3177600000000025;5.3177600000000025;7.01;7.01;8.72;8.72;8.720000000000002;8.720000000000002;8.720000000000002;12.585232709982925;12.585232709982925;12.859983288770055;13.58;13.58;14.47;16.97;16.97;16.97;17.57;18.354166174008014;18.39462227669835;18.795776318306544;19.63;20.67;20.67;21.5;22.1;22.33;22.33;23.764202548330402;26.94;26.940000000000005;27.81;27.81;27.81;28.58;28.580000000000002;29.58;30.22;31.45;31.67;31.67;32.64;32.64;34.46;35.43511494252876;35.542890632560706;35.542890632560706;36.78;36.87052132055398;37.3461115736886;38.91
RESOURCE JOB 0;0.0;0.0;16.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;13.967815631262514;0.0;0.0;16.092184368737485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.513400000000004;0.0;0.0;32.80739999999997;0.0;26.099200000000025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;41.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.178199999999947;0.0;4.877600000000086;7.254199999999969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.093399999999974;0.0;5.915000000000006;3.731329007396223;0.35027099260379657;0.0;0.0;0.0;0.0;0.0;0.0
