LABELS;S_20;S_22;S_9;S_16;S_8;C_9;C_16;C_20;S_14;S_15;C_22;S_28;C_8;S_18;C_28;S_27;C_15;C_18;S_7;C_14;S_13;S_1;S_12;S_29;S_11;S_26;C_1;S_23;C_29;S_6;C_6;S_10;C_12;C_13;C_26;C_27;S_3;C_3;C_23;C_7;S_24;S_21;S_0;C_24;S_4;C_10;S_19;S_2;S_17;C_11;C_17;C_21;C_19;C_4;C_2;S_25;C_25;C_0;S_5;C_5
JOB ID;20;22;9;16;8;9;16;20;14;15;22;28;8;18;28;27;15;18;7;14;13;1;12;29;11;26;1;23;29;6;6;10;12;13;26;27;3;3;23;7;24;21;0;24;4;10;19;2;17;11;17;21;19;4;2;25;25;0;5;5
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;1
TIME;0.0;1.303858202802968;2.01;2.23;5.66;5.88;6.36;6.36;7.539999999999999;7.539999999999999;7.539999999999999;7.54;8.74;8.74;9.31;10.05;11.278098591549293;12.57;15.50578403260565;15.50578403260565;15.95;16.083993030951174;16.083993030951174;17.936281165146198;19.53061794390437;19.53061794390437;21.68;21.68;22.22;22.220000000000002;23.351319763624428;23.351319763624428;23.351319763624428;23.351319763624428;23.351319763624428;23.351319763624428;23.975849802371545;25.43;25.43;26.190513206170507;26.75;27.35;29.11;31.23;32.49;32.49000000000001;32.49000000000001;32.55;32.92;35.26;35.26;35.26;36.62;37.34;37.98645715979839;37.9864571597984;39.535946636772756;39.8;42.38;45.6
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.95430000000001;2.5326000000000093;0.0;0.0;0.12059999999996762;0.743700000000004;4.703400000000002;0.0;2.7335999999999956;0.0;1.4472000000000094;1.2993788911947775;3.1144738487184687;0.0;0.5307472600867555;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.286431720566085;0.0;2.901692937339874;3.911875342094042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.515000000000043;22.22999999999996;0.0;12.920000000000016;0.0;6.840000000000032;21.80499999999995;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.547473508864641e-13;0.0;0.08399999999998187;7.755200000000048;3.2759999999999962;0.0;48.762299999999584;0.0;27.302499999999934;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.25;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
