LABELS;S_24;S_13;C_24;S_23;C_13;S_14;C_23;S_11;S_10;S_4;C_10;C_14;S_26;S_1;S_2;S_15;C_4;S_29;C_11;S_25;C_1;C_2;S_3;C_26;C_29;S_9;S_20;C_25;S_27;C_15;C_27;C_3;C_9;S_12;S_16;S_21;S_17;C_12;C_16;C_21;S_22;S_7;S_6;C_17;S_18;C_20;S_28;C_18;C_22;C_28;C_7;S_5;S_19;S_8;S_0;C_6;C_5;C_19;C_8;C_0
JOB ID;24;13;24;23;13;14;23;11;10;4;10;14;26;1;2;15;4;29;11;25;1;2;3;26;29;9;20;25;27;15;27;3;9;12;16;21;17;12;16;21;22;7;6;17;18;20;28;18;22;28;7;5;19;8;0;6;5;19;8;0
EVENT TYPE;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1
TIME;0.0;1.081813106082868;1.63;1.884635988695903;4.012280515034908;4.012280515034908;5.18;5.2591518066810465;5.7;8.31;8.31;8.31;8.31;8.51;11.597599164926923;11.597599164926923;11.71;13.06;13.77235935385086;13.77235935385086;16.7;16.7;16.7;16.7;17.129999999999995;17.13;17.13;17.13;17.13;22.03;22.03;22.62;22.62;22.62;22.710089285714282;24.19;24.49;25.06;25.42;25.42;25.42;26.619999999999997;26.62;26.62;26.62;27.01;27.965163066497247;29.17;29.17;29.75;32.26923745173746;32.5999818295147;34.45;34.53;36.19263862332696;36.19263862332696;36.192638623326964;37.75;40.79;42.6802959478045
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.606500956022927;10.943999999999988;17.239499043977084;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.623243215031266;0.0;0.6440567849687397;7.735500000000002;4.081819097565415;0.0;16.775380902434577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5384000000000455;18.035999999999973;3.4122013049456115;0.0;14.023398695054368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.156075782880883;0.0;0.0;0.0;0.0;0.0;74.30462421711911;4.879300000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.1839999999999975;0.0;0.0;0.0;28.968375782880955;0.0;0.5676242171190466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.94027533460806;0.5191999999999837;10.790524665391956;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.858699999999999;7.001345277424804;8.831454722575188;0.0;4.25139999999999;27.504169412249297;2.4243562891071235;13.5606331896573;2.6007999999997082;12.187141108986594;0.0;0.0;0.0;0.0;0.0;0.0
