LABELS;S_24;S_20;S_10;S_14;C_24;C_20;C_14;S_26;S_23;S_3;C_3;C_23;S_12;S_17;C_26;C_10;S_11;S_2;C_2;S_19;S_25;C_17;C_11;C_12;S_7;C_25;S_18;S_4;C_7;S_13;C_18;C_19;S_9;S_5;C_4;S_16;S_8;C_13;C_16;S_1;C_5;C_1;S_6;S_0;C_8;S_22;S_27;S_29;C_6;C_9;S_28;C_0;S_15;C_22;C_29;S_21;C_15;C_28;C_21;C_27
JOB ID;24;20;10;14;24;20;14;26;23;3;3;23;12;17;26;10;11;2;2;19;25;17;11;12;7;25;18;4;7;13;18;19;9;5;4;16;8;13;16;1;5;1;6;0;8;22;27;29;6;9;28;0;15;22;29;21;15;28;21;27
EVENT TYPE;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1
TIME;0.0;0.9838414096916297;2.023408778704148;2.38;2.38;3.16;3.770802820104617;4.54;4.541414785218132;5.29;6.910156584681591;6.910156584681592;8.106349783943603;8.106349783943603;8.106349783943603;8.46;8.46;10.01;12.18;12.18;12.18;12.519625292740045;13.78;14.34;14.53;14.91;15.31;18.35;18.35;18.35;18.35;18.35;19.43;20.01;20.78;20.96;23.46682407887909;23.46682407887909;23.57;23.59;23.96;24.878313120176404;25.52;25.8;25.8;25.8;25.8;25.93;28.01;28.01;28.32;29.51;29.51;29.51;29.51;31.31;32.1;32.1;32.92111600587371;39.21
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6747000000000014;5.6759000000000075;0.0;0.1333000000000002;6.176099999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.711800000000039;16.65819999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.97759999999994;0.0;0.0;9.117600000000039;9.374800000000022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.276899999999856;7.596;47.702139543331675;0.7346125583808885;0.0;0.14240000000000919;3.1679478982875757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.588665334717076;0.0;0.0;0.0;3.32800000000006;36.22333466528286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
