LABELS;S_4;S_10;S_8;S_24;C_10;S_7;S_29;C_8;C_4;S_2;C_7;C_29;S_19;C_24;S_25;C_19;S_6;S_18;C_18;S_3;C_25;S_23;S_13;S_5;C_23;C_2;S_22;C_6;C_3;C_13;S_0;C_22;S_26;C_0;S_12;C_5;S_28;S_1;C_1;S_21;S_15;C_28;S_11;C_15;S_17;S_9;C_26;C_21;S_27;C_11;S_14;C_9;C_12;C_17;C_14;C_27;S_16;C_16;S_20;C_20
JOB ID;4;10;8;24;10;7;29;8;4;2;7;29;19;24;25;19;6;18;18;3;25;23;13;5;23;2;22;6;3;13;0;22;26;0;12;5;28;1;1;21;15;28;11;15;17;9;26;21;27;11;14;9;12;17;14;27;16;16;20;20
EVENT TYPE;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1
TIME;0.0;0.0;0.7811796512520217;0.7811796512520217;2.0080688542227003;2.48;3.353380281690141;3.3533802816901415;4.07;4.99;4.99;4.99;5.12;5.12;5.42;6.937500851208716;7.5314191934979675;7.5314191934979675;9.69;9.8;9.8;11.362941262278786;12.69;13.95;13.950000000000001;14.050279512340179;14.050279512340179;14.86;14.860000000000001;14.860000000000001;15.43;15.43;15.66;16.97;16.97;17.856243567752987;17.856243567752987;18.438009734991887;20.12;20.21;20.904203894616263;20.904203894616263;23.09;23.09;23.09;24.889999999999997;24.889999999999997;24.89;25.28;26.18;26.18;27.73;27.73;27.73;29.31;29.51;29.91;34.19;34.19;37.87
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.551200000000023;0.0;16.79879999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.711500000000001;0.0;0.0;0.4560000000000004;0.0;21.97341232550213;16.95636867235814;0.0;3.2810428258830893;3.1405000000000314;20.646422036163287;0.0;2.0171292813362447;1.9152000000000022;0.15242485875707246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.15042031446855;0.0;6.356611353684613;6.03540000000001;3.9490071959562947;0.0;0.0;3.8785611358905356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;6.960310692655513;7.735941406382997;0.0;1.9113211403980621;3.537190140845073;4.845236619718353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4693081177520497;0.0;0.0;3.789491882247958;2.667599999999993;0.0;0.0;7.569300000000055;0.0;8.99802418524908;0.0;29.16627581475086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.319725539231015;0.21890000000000498;3.350220763307444;0.0;2.640846888065216;2.507400000000004;0.19955622955695773;0.0;0.0;2.4233505798393526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;31.668769014084532;12.948430985915468;0.0;4.4528;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;14.636788191440196;0.0;5.630138569123183;5.0830732394366205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.636900000000082;0.0;0.0;22.239000000000033;0.0;13.624099999999885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;14.522129716775083;22.807870283224915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
