LABELS;S_41;S_17;S_3;S_25;C_17;C_41;S_48;S_6;C_3;C_25;S_27;S_10;S_39;S_36;C_48;C_27;S_30;C_39;S_37;S_40;S_18;C_18;C_6;C_30;C_36;C_37;S_47;S_8;C_10;S_12;S_13;S_20;C_8;S_21;C_13;S_14;C_40;C_20;C_21;S_46;C_47;C_12;C_46;S_32;S_28;S_2;S_38;S_5;C_28;S_22;C_22;S_9;C_14;S_11;C_38;S_44;S_1;S_24;C_2;S_42;S_43;C_11;C_32;S_0;C_5;C_24;C_9;C_44;C_0;C_43;S_26;C_1;S_4;S_16;S_23;S_29;S_15;C_16;S_49;C_42;C_29;S_19;C_49;S_7;C_15;S_33;S_34;S_45;C_4;C_23;C_26;C_34;C_45;S_31;S_35;C_31;C_33;C_19;C_7;C_35
JOB ID;41;17;3;25;17;41;48;6;3;25;27;10;39;36;48;27;30;39;37;40;18;18;6;30;36;37;47;8;10;12;13;20;8;21;13;14;40;20;21;46;47;12;46;32;28;2;38;5;28;22;22;9;14;11;38;44;1;24;2;42;43;11;32;0;5;24;9;44;0;43;26;1;4;16;23;29;15;16;49;42;29;19;49;7;15;33;34;45;4;23;26;34;45;31;35;31;33;19;7;35
EVENT TYPE;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1
TIME;1.09;1.39974716652136;2.109686240009877;3.006988645067029;5.309219804951237;5.309219804951237;5.309219804951237;5.769999999999999;5.77;5.77;5.77;6.68;6.96;8.93;8.93;10.89;10.890000000000002;10.890000000000002;11.478189655172413;11.478189655172413;11.543390557939828;15.66999999999991;15.669999999999996;15.669999999999996;15.669999999999996;15.669999999999996;15.669999999999996;15.67;15.67;15.67;15.67;15.67;18.190472440944877;18.190472440944877;18.49358252081882;18.918387801080094;18.918387801080094;19.96453681710214;21.102865876957363;21.96;23.89;23.992942851332113;23.992942851332113;25.22207317073173;25.79;25.84146341463415;27.249999999999993;27.249999999999996;27.249999999999996;27.25;30.91;33.408441761370234;33.408441761370234;33.40844176137024;33.40844176137024;33.40844176137024;34.67;35.18999999999999;35.19;35.69786495886463;35.69786495886463;35.697864958864635;37.279999999999994;37.28;37.28;37.79;39.02336713450455;40.82;40.93;40.984718523710676;41.15233428879428;43.51;43.51;43.51;43.51;46.75999999999999;46.76;47.41;48.58115085990278;49.922297806102705;51.97999999999999;51.98;51.98;52.2470061091471;52.2470061091471;52.2470061091471;52.2470061091471;52.2470061091471;55.798860103626936;55.798860103626936;55.798860103626936;56.49;57.222297266516634;57.83248037577356;60.86737929981683;61.37139635304954;61.37139635304954;61.61;62.45;65.02
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.034500000000037;0.0;0.0;7.338534450302035;22.112465549697944;0.6544999999999845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5875999999999948;0.573887403517034;0.0;0.0;0.0;1.787812596482965;0.5763000000000034;0.0;0.0;1.3937048619901375;2.0301951380098657;0.12429999999999808;0.061831931793065564;1.8303641547129814;5.104003913493955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.067999999999998;17.568000000000012;0.0;0.0;0.0;11.992520454577146;0.0;0.0;6.055479545422855;0.0;0.0;2.495999999999981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;31.952938644085194;51.20162099582478;0.0;5.5754403600900275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.089999999999975;5.018000000000029;0.0;9.041284638449497;10.353654424663432;15.885460936887114;0.0;0.0;2.061287162615656;0.0;0.0;27.4203128373843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.091000000000022;0.0;0.0;0.0;52.80534548320921;0.0;2.2737367544323206e-13;4.856999218724582;-2.2737367544323206e-13;0.0;2.001999999999981;1.9552800916288504;0.0;0.0;2.2737367544323206e-13;18.419375206437124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.050500000000007;0.0;0.0;0.0;1.554000000000002;10.933499999999995;10.878000000000014;0.0;12.429452586206878;0.0;0.0;0.0;0.3618650103591605;22.902682403433943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
