LABELS;S_39;S_27;C_39;S_19;C_27;S_24;C_19;C_24;S_30;S_13;S_3;S_9;C_3;C_30;S_34;S_49;C_9;S_1;C_1;C_13;S_20;C_49;C_20;S_32;S_12;S_5;C_12;C_32;C_34;S_45;S_18;C_5;S_25;C_18;S_48;S_0;C_48;C_25;S_36;S_37;C_0;S_33;S_6;C_36;S_16;C_33;C_16;C_45;S_22;C_37;C_6;S_14;C_22;C_14;S_15;S_42;C_15;S_17;S_11;C_17;S_21;C_11;C_42;C_21;S_44;S_2;S_35;S_38;S_40;C_44;C_40;S_46;C_2;C_35;S_43;S_47;S_8;C_38;C_8;C_47;S_7;C_43;C_46;S_23;C_7;S_10;S_31;C_10;C_31;S_41;C_23;S_29;S_28;C_29;C_41;S_26;C_26;S_4;C_28;C_4
JOB ID;39;27;39;19;27;24;19;24;30;13;3;9;3;30;34;49;9;1;1;13;20;49;20;32;12;5;12;32;34;45;18;5;25;18;48;0;48;25;36;37;0;33;6;36;16;33;16;45;22;37;6;14;22;14;15;42;15;17;11;17;21;11;42;21;44;2;35;38;40;44;40;46;2;35;43;47;8;38;8;47;7;43;46;23;7;10;31;10;31;41;23;29;28;29;41;26;26;4;28;4
EVENT TYPE;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1
TIME;0.0;1.1739954337899545;1.34;2.6438378310502286;2.6438378310502286;3.4420982869322256;3.81;5.07;5.07;5.32;6.363055555555556;7.92;7.920000000000001;7.920000000000001;7.920000000000001;7.920000000000001;9.937142857142858;9.942259131733394;13.07680950360628;13.07680950360628;13.07680950360628;13.07680950360628;14.23520950360628;14.23520950360628;15.11;17.550361018757794;17.550361018757794;17.550361018757794;17.550361018757794;17.550361018757794;18.85246327673858;18.852463276738582;21.66695959123489;21.666959591234892;21.882017152658655;22.4;23.54;24.57241822938908;24.57241822938908;24.66;25.68;25.68;26.284000647793576;26.28400064779358;27.71560171535781;29.609999999999996;29.61;31.26;31.76685636856369;31.76685636856369;31.82;35.306687488817886;35.63;37.006367999999995;37.006367999999995;38.51;38.68;38.68;38.99;40.69963330029733;40.69963330029733;43.29;43.29;43.45;43.45;45.76;45.76;45.76;45.76;46.18684210526316;48.13;48.13;48.992746955345055;48.992746955345055;48.992746955345055;48.992746955345055;49.49589225589226;49.49589225589226;53.24;54.34;54.341329975568925;54.341329975568925;54.76;55.96466714756715;56.22;56.56183648069697;58.39;59.916315789473686;59.916315789473686;60.15757288752406;61.9096705177578;61.90967051775781;63.7;63.7;64.11;66.76;68.12495810744208;68.2759696596966;68.47;69.31
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.463400000000036;11.073312058414817;0.0;0.4422879415851497;5.150999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7434052631579675;0.0;0.0;17.041494736842083;0.0;3.3050999999999497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.732400000000069;20.48759999999993;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.71048900119834;0.0;4.117713463029272;2.2737367544323206e-13;2.2926536333331455;24.658562330623525;0.0;1.4805815718154918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
