n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
5;50.0;2;0;1.0;0.95;80.0;8000.0;1263;0.0319849736988544;17.24;76.09877718612552;12.419999999999996;0.0
5;50.0;2;1;1.0;0.95;80.0;8000.0;391;0.0278782565146684;14.58;14.431169256567957;9.74;0.0
5;50.0;2;2;1.0;0.95;80.0;8000.0;2120;0.0419180542230606;15.5;134.65628876071423;13.079999999999984;0.0
5;50.0;2;3;1.0;0.95;80.0;8000.0;80;0.0291383359581232;6.37;3.246351591311395;6.37;0.0
5;50.0;3;0;1.0;0.95;80.0;8000.0;2963;0.0303305052220821;18.020000000000003;133.73977099824697;15.269999999999996;0.0
5;50.0;3;1;1.0;0.95;80.0;8000.0;528;0.0315238591283559;13.77;20.970285369083285;12.489999999999998;0.0
5;50.0;3;2;1.0;0.95;80.0;8000.0;4032;0.0249464530497789;17.4;150.01029504463077;17.079999999999973;0.0
5;50.0;3;3;1.0;0.95;80.0;8000.0;1723;0.0426518647000193;21.090000000000003;104.36882390920071;19.59000000000001;0.0
5;50.0;4;0;1.0;0.95;80.0;8000.0;3;0.0271956091746687;167.3918;0.1635568598285317;145.88600000000002;127.88600000000002
5;50.0;4;1;1.0;0.95;80.0;8000.0;1652;0.0290462058037519;19.32;106.18004936166108;16.750000000000014;0.0
5;50.0;4;2;1.0;0.95;80.0;8000.0;3540;0.0506915291771292;10.38;208.07987421378493;9.190000000000005;0.0
5;50.0;4;3;1.0;0.95;80.0;8000.0;652;0.0425595445558428;17.07;28.419020206667483;11.940000000000005;0.0
10;50.0;2;0;2.0;0.95;160.0;16000.0;1497;0.1207412742078304;243.95600000000005;171.70171789173037;22.149999999999995;0.0
10;50.0;2;1;2.0;0.95;160.0;16000.0;4;0.1146868662908673;308.8384148699407;0.5893748681992292;204.66189378757556;180.7018937875756
10;50.0;2;2;2.0;0.95;160.0;16000.0;1681;0.129492930136621;18.37;199.41497460659596;15.559999999999986;0.0
10;50.0;2;3;2.0;0.95;160.0;16000.0;789;0.1170095400884747;38.77000000000001;123.24785882048307;35.470000000000006;0.0
10;50.0;3;0;2.0;0.95;160.0;16000.0;6218;0.1160772629082202;28.53;563.4258738793433;22.309999999999995;0.0
