LABELS;S_9;S_2;C_9;S_4;S_6;S_1;S_5;C_2;C_4;C_5;S_8;S_0;C_6;C_8;S_7;C_0;C_1;S_3;C_3;C_7
JOB ID;9;2;9;4;6;1;5;2;4;5;8;0;6;8;7;0;1;3;3;7
EVENT TYPE;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;1
TIME;0.6729239766081871;3.92;3.92;6.52;6.71;7.17;7.17;10.366977359648926;10.366977359648926;10.366977359648926;10.366977359648926;10.366977359648928;10.366977359648928;12.6;12.670659133709833;14.28;14.280000000000001;14.280000000000001;16.52;16.595707800247595
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.12338229755096;0.0;0.0;0.0;0.0;2.5663397363410922;67.93027796610806;0.0;0.0;-1.1368683772161603e-13;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;18.334467982447137;0.0;30.547749720002685;0.0;0.0;0.0;0.0;0.9666169491505272;3.991165348399619;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;85.6595;0.9062999999999981;2.194200000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.16000000000001;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;6.919800000000038;5.529199999999989;0.0;64.16099999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;28.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;15.276600000000066;0.0;48.72339999999926;0.0;0.0;0.0;0.0;6.750155989720952e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.545600000000803;20.83999999999999;0.0;0.0;1.8343999999992064;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;66.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
