LABELS;S_0;S_8;S_9;C_0;C_8;S_6;S_3;S_2;C_9;C_6;C_2;S_4;C_3;S_5;S_7;S_1;C_1;C_7;C_4;C_5
JOB ID;0;8;9;0;8;6;3;2;9;6;2;4;3;5;7;1;1;7;4;5
EVENT TYPE;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1;1;1
TIME;0.02;0.91;1.3331751976695787;4.2;4.2;4.200000000000001;4.200000000000002;5.34;5.34;7.3601318373071525;9.788306111696523;9.788306111696523;9.851231071594647;9.851231071594647;9.851231071594647;10.333156002875635;12.12;13.245538643297097;14.343304547964605;14.343304547964605
RESOURCE JOB 0;30.3579;14.434505992509331;28.897594007490667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.71;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.666504544179524;0.0;92.17349545582047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;13.7256;0.0;0.0;24.32238732117811;0.0;29.23521826364801;0.0;2.4867944151738754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42348498011436675;0.0;0.0;3.2433547875210564;12.025460100646967;22.57972202233755;34.897978109380055;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.385493804289197;6.271822429906521;4.579525440421314;3.85315832538295;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;17.862300000000005;0.0;0.0;72.01769999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.467397972239155;21.334917325664915;29.11768470209593;0.0;0.0;0.0
RESOURCE JOB 8;0.0;6.724253890969607;75.5357461090304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;38.9079;0.0;25.412099999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
