LABELS;S_1;S_5;S_6;S_3;C_5;S_0;C_1;S_2;C_3;S_4;C_6;S_7;C_0;S_8;C_4;S_9;C_7;C_8;C_9;C_2
JOB ID;1;5;6;3;5;0;1;2;3;4;6;7;0;8;4;9;7;8;9;2
EVENT TYPE;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1
TIME;2.37;2.3700000000000006;2.3700000000000006;2.4803327495621668;5.3;6.299999999999999;6.299999999999999;6.299999999999999;6.299999999999999;6.299999999999999;6.299999999999999;6.299999999999999;8.705712774398306;11.02;11.020000000000008;11.87;12.138975069252092;12.138975069252092;15.199823896517083;15.238812785388127
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;1.1088441330997725;0.0;27.731155866900238;10.04999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.408037396122246;0.0;9.307499999999905;2.945277008310427;0.0;33.51629465855163;1.7028909370157876;0.0
RESOURCE JOB 3;0.0;0.0;0.0;31.185519789842438;28.014480210157508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.325638719915318;0.0;0.0;0.0;0.0;19.93436128008434;3.410605131648481e-13;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;2.5100700525392767;0.0;39.22992994746073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;1.2677232924692916;0.0;42.836756917688255;11.935519789842445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.37196260387815;0.0;8.848499999999817;2.5095373961220275;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.343999999999767;5.826000000000247;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.167939058171868;0.0;68.01206094182814;0.0;0.0
