LABELS;S_0;S_1;S_7;C_0;S_5;S_6;C_5;S_4;C_1;S_2;S_3;C_6;C_7;S_8;C_8;S_9;C_2;C_4;C_3;C_9
JOB ID;0;1;7;0;5;6;5;4;1;2;3;6;7;8;8;9;2;4;3;9
EVENT TYPE;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1
TIME;2.7;2.7;2.7;4.67;4.67;4.67;6.4748;8.319999999999999;8.32;8.32;8.32;8.32;8.32;8.32;9.933746731415765;10.41;11.541443381180223;11.541443381180223;12.88;15.207328025477707
RESOURCE JOB 0;34.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;48.501400000000004;0.0;0.0;0.0;0.0;0.0;21.178600000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.862607396339186;17.135592603660825;39.021799999999985;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.121852820321262;5.053047179678742;12.004614274322163;0.0;62.82048572567783;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.502876354127757;1.6240236458722421;3.543100000000001;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;90.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;39.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;8.959108000000004;0.0;0.0;0.0;0.0;0.0;8.690891999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.2;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.002654784688996;0.0;2.3692452153110075;73.07809999999999;0.0
