LABELS;S_5;S_6;C_6;S_2;S_3;C_5;S_8;S_9;C_2;S_7;C_8;S_0;C_3;S_4;S_1;C_0;C_1;C_4;C_7;C_9
JOB ID;5;6;6;2;3;5;8;9;2;7;8;0;3;4;1;0;1;4;7;9
EVENT TYPE;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1
TIME;0.24000000000000013;0.7713888888888891;3.07;3.66;4.3595294117644094;4.35952941176441;5.690000000000002;5.690000000000003;5.690000000000005;6.724533073929963;6.7245330739299645;7.322453217639026;7.322453217639026;7.322453217639026;8.0;9.159385458889956;11.27;11.27;11.27;11.27
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.099453287107877;15.570546712892114;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35940949225588614;50.930590507744114;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;34.297927058809;0.0;64.10207294119084;1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;2.4214564705887778;0.0;0.0;11.800328867860728;1.088214661550495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.409887814958793;0.10434469130009605;6.295767493741057;0.0;0.0;0.0;0.0
RESOURCE JOB 5;26.56944444444445;65.28055555555554;5.46145647058853;0.6785435294114768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;49.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.59548799217916;0.0;0.0;0.0;6.389266157663982;37.64524585015687;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.270000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.344868358048647;2.2123045317235324;-1.1368683772161603e-13;0.0;0.0;6.978731858318042;4.289726197892843;48.304369054017045;0.0;0.0;0.0;0.0
