LABELS;S_0;S_1;C_0;C_1;S_7;S_6;C_7;S_3;C_6;S_2;C_3;S_5;S_8;S_4;C_5;C_8;S_9;C_4;C_2;C_9
JOB ID;0;1;0;1;7;6;7;3;6;2;3;5;8;4;5;8;9;4;2;9
EVENT TYPE;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;1
TIME;0.5121429916317994;2.16;3.6084832635983264;3.6084832635983264;3.76;3.7600000000000002;6.23;6.71337807144332;6.71337807144332;8.61057807144332;8.61057807144332;8.61057807144332;8.61057807144332;9.62211711605453;10.89;10.89;10.89;12.04;14.73;14.73
RESOURCE JOB 0;82.39285041841003;1.7671495815899583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;55.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.968080363206134;0.0;0.0;7.4805090152782725;0.0;6.784999999999997;0.0;68.4864106215156;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.403000000000056;0.0;41.83699999999993;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.16312009001247;0.0;0.0;8.596879909987528;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;61.33;23.409999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;62.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.216244727992375;0.0;0.0;20.91375527200762;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.877999999999986;0.0;64.00200000000001;0.0;0.0
