LABELS;S_2;S_7;S_9;S_0;C_2;C_0;S_5;C_7;S_6;C_9;S_3;S_4;C_6;C_5;C_4;S_1;S_8;C_3;C_1;C_8
JOB ID;2;7;9;0;2;0;5;7;6;9;3;4;6;5;4;1;8;3;1;8
EVENT TYPE;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1
TIME;0.0;0.9099999999999996;0.9100000000000001;1.0320670942279226;1.0320670942279226;2.134227310249525;2.16;3.24;5.21;5.21;6.250375939849624;6.2830381303813105;6.72;6.720000000000001;7.898719723183393;8.714116394606103;8.714116394606103;10.1;10.91;11.53
RESOURCE JOB 0;0.0;0.0;0.0;0.0;24.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.05420000000001;0.0;22.825799999999994;0.0;0.0
RESOURCE JOB 2;36.891400000000004;4.948599999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21720356703570332;2.9057964329642942;7.838486159169565;0.0;5.422387864961024;9.216125975869417;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5524999999999523;51.09750000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;24.101700000000022;54.253799999999984;10.299721804511279;0.0;0.3233556862636888;9.501422509225044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.719075187969935;0.0;1.0925502732848642;5.888374538745204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;1.0583217069560922;0.0;0.0;29.08409490687599;1.10848338616794;22.34909999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.47815606813343;0.0;13.281843931866568;31.0;0.0
RESOURCE JOB 9;0.0;0.09643300444005909;0.0;0.0;1.533915894204113;0.18015110135582546;7.549199999999999;13.770300000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
