LABELS;S_0;C_0;S_8;C_8;S_5;S_7;S_9;C_7;S_2;C_5;S_6;S_3;S_4;C_9;S_1;C_2;C_6;C_1;C_3;C_4
JOB ID;0;0;8;8;5;7;9;7;2;5;6;3;4;9;1;2;6;1;3;4
EVENT TYPE;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1
TIME;0.36;2.9714588348579665;2.9714588348579665;4.430741535279908;4.696954;5.53;6.57;9.18;9.54;9.54;9.54;9.58;9.58;9.58;11.719418907198612;11.719418907198612;11.719418907198612;15.7;15.7;15.7
RESOURCE JOB 0;54.23999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.46;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08920000000000172;0.0;0.0;0.0;15.990799999999997;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.980032523850824;79.66996747614918;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32091283607979193;49.89908716392021;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;41.65230000000001;28.548000000000002;26.126099999999994;3.6036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45759999999999934;0.0;0.0;0.0;80.2724;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;23.451999999999998;57.007999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;69.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;47.016;3.549599999999998;0.0;0.3944000000000045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
