LABELS;S_6;S_1;C_6;S_8;S_7;C_1;S_5;C_5;C_8;S_9;S_2;S_3;S_4;C_7;C_2;C_3;S_0;C_4;C_9;C_0
JOB ID;6;1;6;8;7;1;5;5;8;9;2;3;4;7;2;3;0;4;9;0
EVENT TYPE;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1
TIME;0.8185557300611217;3.5332318710832586;3.5332318710832586;4.82;6.912454873646201;7.51;7.51;8.969999999999995;8.969999999999995;8.97;9.833741388447267;10.54;10.929999999999998;10.93;11.98;14.049999999999997;14.05;14.436138788410522;16.03;19.15
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.37485301070798;0.0;13.930346989292048;62.44479999999997;0.0
RESOURCE JOB 1;0.0;0.0;43.119600000000005;23.351796389891604;6.668603610108391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.079243296237507;13.06499999999992;0.0;16.845756703762326;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6535999999999902;0.0;4.451999999999998;52.91440000000003;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.227743296237676;38.80729999999997;13.73495670376235;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;23.809999999999604;0.0;0.0;3.943512183468556e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;99.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;21.00371119133598;0.0;16.221488808664233;0.0;38.27238092209865;-2.8421709430404007e-13;4.640119077901446;2.5622999999999934;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;58.086547292418516;2.204941516245519;0.0;32.96851119133612;0.0;0.0;-1.4210854715202004e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.91468850026498;-2.8421709430404007e-13;5.593568203497668;2.219099999999983;0.0;5.974499999999999;11.778300000000002;2.197129706055893;0.0;65.76271359018187;0.0;0.0
