LABELS;S_6;S_9;C_9;S_7;S_5;S_3;C_6;C_7;S_1;C_5;S_8;S_4;C_1;S_2;C_4;C_8;S_0;C_3;C_2;C_0
JOB ID;6;9;9;7;5;3;6;7;1;5;8;4;1;2;4;8;0;3;2;0
EVENT TYPE;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;1;1;1
TIME;0.0;0.0;2.44;2.8300000000000005;3.4799999999999955;3.490000000000002;3.490000000000002;4.627540628385686;4.7499999999495985;5.034627450728188;5.034627450728188;6.509999999999999;6.51;8.39;8.39;10.06434361227814;10.212472709665654;10.212472709665654;10.34;11.90827992715567
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.094715248857099;0.0;69.9452847511429;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0986015570184975;67.91139844298151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.820433836642096;4.677916895497731;1.2816492678601747;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;5.630826110509162;0.8584401946630251;0.40417098010559727;2.0950290199659714;0.0;0.0;4.996000000000016;0.0;11.737148722069762;1.038384972686469;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.261302422036394e-13;0.0;84.21;-4.261302422036394e-13;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.3582000000000818;0.0;40.74670530877518;4.386494689419322;8.728600001805376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;42.20599999999999;2.3712000000000018;3.9519999999999698;0.06080000000003949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;5.999499999999951;0.08100000000017715;0.0;10.49949999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7622000006431193;0.0;0.0;4.794000000000004;0.0;19.003799999356875;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;24.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
