LABELS;S_3;S_4;S_7;S_9;S_2;C_4;C_3;S_6;C_6;S_0;S_1;C_2;S_5;C_7;S_8;C_9;C_0;C_1;C_5;C_8
JOB ID;3;4;7;9;2;4;3;6;6;0;1;2;5;7;8;9;0;1;5;8
EVENT TYPE;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;1
TIME;1.26;1.920000000000001;3.7699517490952963;4.826739225076186;5.06;5.06;5.12;5.12;7.09;8.83;8.83;8.83;8.83;8.83;8.83;8.83;10.65;10.922708333333334;13.025355500263892;13.025355500263892
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.471999999999994;0.0;0.0;0.0;0.0;0.0;0.0;2.6180000000000057;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.38220000000000454;0.0;0.0;10.383999999999993;11.083800000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;8.447999999999986;23.679382388419782;13.52687969255539;2.847737919024844;0.7680000000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;68.81820506634499;4.269421402962806;0.9423735306922012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.436691653472053;0.0;0.0;0.0;0.0;0.0;0.0;1.5789812500000053;12.17432709652794;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;25.898828994340462;1.8077710056595535;0.4650000000000034;0.0;0.0;0.0;35.948399999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.7501999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.711768750000001;92.95803125;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;5.3579999999999925;1.3782000000000068;0.0;0.0;3.4659999999999913;39.96780000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
