LABELS;S_3;S_11;S_10;S_5;C_3;C_11;S_14;S_12;C_5;C_10;C_12;C_14;S_2;C_2;S_6;S_9;S_13;S_8;C_6;C_13;S_1;S_0;C_8;C_9;S_7;C_1;C_7;C_0;S_4;C_4
JOB ID;3;11;10;5;3;11;14;12;5;10;12;14;2;2;6;9;13;8;6;13;1;0;8;9;7;1;7;0;4;4
EVENT TYPE;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1
TIME;0.0;0.0;0.8989355487603622;1.57;3.3099999999999983;3.3099999999999987;3.3099999999999987;3.31;3.620947867298578;3.620947867298578;4.756112052844182;4.756112052844182;4.756112052844183;6.2651120528441835;6.2651120528441835;6.2651120528441835;7.637658530263614;7.848040574704002;7.848040574704003;8.786642611335916;8.95;9.9;9.9;10.46;11.28916905993154;12.03;13.336629278021721;14.602978401968132;14.602978401968132;18.255959279358457
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.073600000000013;7.512271682979744;6.711928317020238;11.838061258876806;63.2541387411232;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7885000000000018;0.0;16.642297357790667;33.94618131359722;21.773021328612117;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.45000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;26.356790289653834;5.4673293571067845;28.965880353239378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.95;0.0
RESOURCE JOB 5;0.0;0.0;0.0;14.685599999999999;2.6243999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.77839473961401;0.0;3.0316052603859873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.556597357790736;53.49340264220926;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7696536700381706;0.0;3.2573463299618197;18.943000000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.84892913135755;0.0;1.2538769848647178;5.594068138326207;0.0;4.910523103242326;27.768500000000042;0.0;6.284102642209319;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;10.213600947867292;26.482799999999997;2.033599052132711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;2.2383495164133023;8.025930836826069;16.86571964676063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;9.417826623485192;0.0;0.0;0.0;0.0;42.682173376514754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.233619976768665;40.56638002323133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;1.4715676893110583;0.0;0.0;0.0;0.0;12.668432310688942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
